Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"1,482,863","26,715","88,471","1,580","326,031","8,977","1,068,361","16,139 (2%)","1,068,361",6%,"11,076,987","483,898"
spain,"274,367","1,721","27,459",138,"188,967","2,487","57,941","1,320 (2%)","57,941",10%,"2,467,761",0
russia,"262,843","10,598","2,418",113,"58,226","4,696","202,199","2,300 (1%)","202,199",1%,"6,413,948","225,846"
united-kingdom,"237,260","3,561","34,041",384,457,1,"202,762","1,559 (1%)","202,762",14%,"2,353,078","133,797"
italy,"223,885",789,"31,610",242,"120,205","4,917","72,070",808 (1%),"72,070",14%,"2,875,680","68,176"
brazil,"218,223","15,305","14,817",824,"84,970","5,491","118,436","8,318 (7%)","118,436",7%,"735,224",0
france,"179,506",636,"27,529",104,"60,448",843,"91,529","2,203 (2%)","91,529",15%,"1,384,633",0
germany,"175,699",724,"8,001",73,"151,700","1,400","15,998","1,294 (8%)","15,998",5%,"3,147,771",0
turkey,"146,457","1,708","4,055",48,"106,133","2,103","36,269",944 (3%),"36,269",3%,"1,547,389","38,565"
iran,"116,635","2,102","6,902",48,"91,836","1,297","17,897","2,727 (15%)","17,897",6%,"658,604","14,832"
india,"85,784","3,787","2,753",104,"30,234","2,265","52,797",0 (0%),"52,797",3%,"2,039,952","92,911"
peru,"84,495","3,891","2,392",125,"27,147","1,996","54,956",851 (2%),"54,956",3%,"605,383","18,091"
china,"82,933",4,"4,633",0,"78,209",14,91,11 (12%),91,6%,0,0
canada,"75,035",981,"5,647",66,"36,895",804,"32,493",502 (2%),"32,493",8%,"1,225,049","55,669"
belgium,"54,644",356,"8,959",56,"14,301",190,"31,384",380 (1%),"31,384",16%,"645,314","21,686"
saudi-arabia,"49,176","2,307",292,9,"21,869","2,818","27,015",167 (1%),"27,015",1%,"530,265","16,678"
netherlands,"43,681",200,"5,643",53,0,0,"38,038",378 (1%),"38,038",13%,"287,943","5,167"
mexico,"42,595","2,409","4,477",257,"28,475","1,485","9,643",378 (4%),"9,643",11%,"155,932","13,728"
chile,"39,542","2,502",394,26,"16,614",959,"22,534",584 (3%),"22,534",1%,"341,347","15,930"
pakistan,"37,218","1,430",803,33,"10,155",460,"26,260",111 (0%),"26,260",2%,"344,450","13,700"
ecuador,"31,467",965,"2,594",256,"3,433",0,"25,440",197 (1%),"25,440",8%,"89,817",894
switzerland,"30,514",51,"1,878",6,"27,100",0,"1,536",69 (4%),"1,536",6%,"334,274","6,111"
qatar,"29,425","1,153",14,0,"3,546",190,"25,865",72 (0%),"25,865",0%,"148,173","4,235"
sweden,"29,207",625,"3,646",117,"4,971",0,"20,590",351 (2%),"20,590",12%,"177,500",0
portugal,"28,583",264,"1,190",6,"3,328",130,"24,065",112 (0%),"24,065",4%,"600,061","17,720"
belarus,"27,730",958,156,5,"8,807",639,"18,767",92 (0%),"18,767",1%,"321,705","13,549"
singapore,"26,891",793,21,0,"7,248","1,275","19,622",18 (0%),"19,622",0%,"224,262",0
ireland,"23,956",129,"1,518",12,"19,470",0,"2,968",69 (2%),"2,968",6%,"258,808",0
united-arab-emirates,"21,831",747,210,2,"7,328",398,"14,293",1 (0%),"14,293",1%,"1,560,923",0
bangladesh,"20,065","1,202",298,15,"3,882",521,"15,885",1 (0%),"15,885",1%,"160,512","8,582"
poland,"18,016",401,907,24,"6,918",222,"10,191",160 (2%),"10,191",5%,"576,276","21,919"
ukraine,"17,330",483,476,20,"4,473",330,"12,381",225 (2%),"12,381",3%,"211,614","9,119"
israel,"16,589",10,266,1,"12,587",66,"3,736",60 (2%),"3,736",2%,"485,922",0
indonesia,"16,496",490,"1,076",33,"3,803",285,"11,617",0 (0%),"11,617",7%,"178,602","4,912"
romania,"16,437",190,"1,070",17,"9,370",317,"5,997",219 (4%),"5,997",7%,"294,601","8,384"
japan,"16,203",83,713,16,"10,338",470,"5,152",245 (5%),"5,152",4%,"233,144",0
austria,"16,109",51,628,2,"14,471",66,"1,010",47 (5%),"1,010",4%,"351,351","6,745"
colombia,"14,216",606,546,21,"3,460",102,"10,210",137 (1%),"10,210",4%,"177,050","11,312"
south-africa,"13,524",785,247,9,"6,083",407,"7,194",119 (2%),"7,194",2%,"421,555","18,537"
kuwait,"12,860",885,96,8,"3,640",189,"9,124",190 (2%),"9,124",1%,"236,004","4,074"
philippines,"12,091",215,806,16,"2,460",123,"8,825",77 (1%),"8,825",7%,"191,963","2,494"
dominican-republic,"11,739",419,424,2,"3,557",206,"7,758",127 (2%),"7,758",4%,"50,108","2,334"
egypt,"11,228",399,592,21,"2,799",173,"7,837",41 (1%),"7,837",5%,"135,000","30,000"
south-korea,"11,018",27,260,0,"9,821",59,937,55 (6%),937,2%,"726,747","15,263"
denmark,"10,791",78,537,0,"8,959",154,"1,295",32 (2%),"1,295",5%,"368,889","10,903"
serbia,"10,438",64,225,1,"4,301",217,"5,912",20 (0%),"5,912",2%,"168,670","5,873"
panama,"9,118",174,260,4,"6,080",13,"2,778",72 (3%),"2,778",3%,"46,898","1,025"
czechia,"8,406",55,295,2,"5,381",140,"2,730",37 (1%),"2,730",4%,"342,131","7,417"
norway,"8,219",23,232,0,32,0,"7,955",20 (0%),"7,955",3%,"216,350","3,695"
argentina,"7,134",255,353,24,"2,385",119,"4,396",170 (4%),"4,396",5%,"93,673","3,199"
australia,"7,019",30,98,0,"6,337",36,584,17 (3%),584,1%,"983,816","40,336"
malaysia,"6,855",36,112,0,"5,439",88,"1,304",14 (1%),"1,304",2%,"424,306","152,585"
morocco,"6,652",45,190,0,"3,400",90,"3,062",1 (0%),"3,062",3%,"81,616","3,694"
algeria,"6,629",187,536,7,"3,271",113,"2,822",22 (1%),"2,822",8%,"6,500",0
bahrain,"6,583",385,11,1,"2,640",287,"3,932",4 (0%),"3,932",0%,"222,542","8,458"
finland,"6,228",83,293,6,"5,000",700,935,32 (3%),935,5%,"140,600","3,600"
afghanistan,"6,053",414,153,17,745,54,"5,155",7 (0%),"5,155",3%,"20,854","1,122"
moldova,"5,745",192,202,8,"2,228",0,"3,315",251 (8%),"3,315",4%,"20,447",0
kazakhstan,"5,689",118,34,2,"2,707",176,"2,948",31 (1%),"2,948",1%,"483,236","23,500"
ghana,"5,530",122,24,0,674,160,"4,832",5 (0%),"4,832",0%,"167,704","3,252"
nigeria,"5,450",288,171,4,"1,320",140,"3,959",7 (0%),"3,959",3%,"30,657",0
oman,"4,625",284,20,2,"1,350",47,"3,255",31 (1%),"3,255",0%,"61,000",0
armenia,"4,044",184,52,3,"1,666",94,"2,326",10 (0%),"2,326",1%,"37,476","1,460"
luxembourg,"3,923",8,104,1,"3,682",17,137,11 (8%),137,3%,"59,987","1,260"
hungary,"3,417",37,442,6,"1,287",118,"1,688",46 (3%),"1,688",13%,"127,237","3,979"
bolivia,"3,372",224,152,10,356,17,"2,864",3 (0%),"2,864",5%,"7,651",0
iraq,"3,193",50,117,2,"2,089",61,987,0 (0%),987,4%,"140,573",0
thailand,"3,025",7,56,0,"2,854",4,115,61 (53%),115,2%,"286,008",0
azerbaijan,"2,980",101,36,1,"1,886",53,"1,058",37 (3%),"1,058",1%,"220,363","6,072"
cameroon,"2,954",154,139,3,"1,553",10,"1,262",28 (2%),"1,262",5%,0,0
greece,"2,810",40,160,4,"1,374",0,"1,276",23 (2%),"1,276",6%,"120,015","3,782"
uzbekistan,"2,686",41,11,0,"2,158",22,517,8 (2%),517,0%,"460,000","135,000"
guinea,"2,473",99,15,1,895,39,"1,563",18 (1%),"1,563",1%,"10,304","10,304"
honduras,"2,318",63,133,10,253,16,"1,932",10 (1%),"1,932",6%,"5,653",0
senegal,"2,310",121,25,2,890,48,"1,395",6 (0%),"1,395",1%,"24,599",0
bosnia-and-herzegovina,"2,236",18,128,6,"1,336",64,772,4 (1%),772,6%,"47,149","1,339"
croatia,"2,222",1,95,1,"1,869",19,258,8 (3%),258,4%,"51,568","1,228"
bulgaria,"2,138",38,102,3,545,14,"1,491",51 (3%),"1,491",5%,"63,319","1,608"
ivory-coast,"2,017",46,24,0,942,12,"1,051",0 (0%),"1,051",1%,"15,260",0
sudan,"1,964",146,91,1,205,7,"1,668",0 (0%),"1,668",5%,0,0
cuba,"1,840",10,79,0,"1,425",42,336,9 (3%),336,4%,"77,374","2,232"
iceland,"1,802",0,10,0,"1,780",0,12,0 (0%),12,1%,"55,626",551
estonia,"1,766",8,63,1,923,14,780,5 (1%),780,4%,"68,097",967
north-macedonia,"1,740",17,97,2,"1,251",16,392,21 (5%),392,6%,"20,548",460
lithuania,"1,523",12,54,0,965,31,504,17 (3%),504,4%,"216,247","7,994"
guatemala,"1,518",176,29,0,129,8,"1,360",5 (0%),"1,360",2%,"7,200",0
new-zealand,"1,498",1,21,0,"1,421",10,56,2 (4%),56,1%,"216,787","7,174"
slovakia,"1,480",3,27,0,"1,131",19,322,3 (1%),322,2%,"135,902","3,992"
slovenia,"1,465",1,103,0,270,3,"1,092",7 (1%),"1,092",7%,"67,701","1,023"
djibouti,"1,309",25,4,1,935,30,370,0 (0%),370,0%,"16,878",231
