Country,Total confirmed cases,Total deaths,Confirmed recoveries,Cases confirmed today,Deaths today,Recoveries confirmed today
united-states,"312,237","8,502","14,828","2,104",60,87
spain,"126,168","11,947","34,219",0,0,0
italy,"124,632","15,362","20,996",0,0,0
germany,"96,092","1,444","26,400",0,0,0
france,"89,953","7,560","15,438",0,0,0
china,"82,555","3,333","77,168",31,3,241
iran,"55,743","3,452","19,736",0,0,0
united-kingdom,"42,461","4,320",215,2,0,0
turkey,"23,934",501,786,0,0,0
switzerland,"20,505",666,"6,415",0,0,0
belgium,"19,691","1,447","3,751","1,260",164,504
netherlands,"16,716","1,655",257,2,0,0
canada,"14,018",233,"2,603",106,2,8
austria,"11,831",204,"2,998",50,18,491
portugal,"10,524",266,75,0,0,0
brazil,"10,360",445,127,0,0,0
south-korea,"10,237",183,"6,463",81,6,138
israel,"8,018",46,477,167,2,50
sweden,"6,443",373,205,0,0,0
australia,"5,687",35,757,137,5,56
norway,"5,645",62,32,95,0,0
russia,"4,731",43,333,0,0,0
ireland,"4,604",137,25,0,0,0
czechia,"4,475",62,78,3,3,0
denmark,"4,258",161,"1,382",0,0,6
chile,"4,161",27,528,0,0,0
poland,"3,834",84,134,207,5,18
malaysia,"3,662",61,"1,005",179,4,90
romania,"3,613",146,329,0,0,0
india,"3,588",99,229,506,13,0
ecuador,"3,465",172,100,0,0,0
philippines,"3,246",152,64,152,8,7
japan,"3,139",77,514,0,0,0
pakistan,"2,880",45,170,62,4,39
luxembourg,"2,729",31,500,0,0,0
saudi-arabia,"2,370",29,420,191,0,0
indonesia,"2,273",198,164,181,7,14
thailand,"2,169",23,674,102,3,0
finland,"1,927",25,300,45,0,0
mexico,"1,890",79,633,202,19,0
panama,"1,801",46,13,0,0,0
peru,"1,746",73,914,0,0,0
greece,"1,673",68,78,0,0,0
serbia,"1,624",44,54,0,0,0
south-africa,"1,585",9,95,0,0,0
dominican-republic,"1,578",77,17,0,0,0
united-arab-emirates,"1,505",10,125,0,0,0
argentina,"1,451",43,279,0,0,0
iceland,"1,417",4,396,0,0,0
colombia,"1,406",32,85,0,0,0
qatar,"1,325",3,109,0,0,0
algeria,"1,251",130,90,0,0,0
ukraine,"1,251",32,25,26,0,0
singapore,"1,189",6,297,0,0,0
croatia,"1,126",12,119,0,0,0
estonia,"1,097",15,62,58,2,3
egypt,"1,070",71,241,0,0,0
new-zealand,"1,039",1,156,89,0,29
slovenia,997,28,79,20,6,0
morocco,960,66,69,41,7,3
hong-kong,890,4,206,28,0,33
iraq,878,56,259,0,0,0
armenia,822,7,57,52,0,14
lithuania,811,11,7,40,0,0
moldova,752,14,30,0,2,1
hungary,733,34,66,55,2,8
cruise-ship,712,11,619,0,0,0
bahrain,688,4,423,0,0,0
bosnia-and-herzegovina,632,21,30,8,0,0
kazakhstan,569,6,36,38,1,0
kuwait,556,1,99,77,0,6
cameroon,555,9,17,0,0,0
tunisia,553,18,5,0,0,0
latvia,533,1,1,24,0,0
