Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"1,035,240","27,197","59,225","2,576","141,907","4,168","834,108","15,635 (2%)","834,108",6%,"5,854,824","185,958"
spain,"232,128","2,706","23,822",301,"123,903","3,071","84,403","7,764 (9%)","84,403",10%,"1,345,560",0
italy,"201,505","2,091","27,359",382,"68,941","2,317","105,205","1,863 (2%)","105,205",14%,"1,846,934","57,272"
france,"165,911",69,"23,660",367,"46,886","1,373","95,365","4,387 (5%)","95,365",14%,"463,662",0
united-kingdom,"162,235","4,002","21,741",588,779,4,"139,715","1,559 (1%)","139,715",13%,"763,387","43,477"
germany,"159,735","1,301","6,280",219,"117,400","2,900","36,055","2,409 (7%)","36,055",4%,"2,072,669",0
turkey,"114,653","2,392","2,992",92,"38,809","5,018","72,852","1,621 (2%)","72,852",3%,"948,115","29,230"
russia,"93,558","6,411",867,73,"8,456","1,110","84,235","2,300 (3%)","84,235",1%,"3,139,258","119,824"
iran,"92,584","1,112","5,877",71,"72,439","1,506","14,268","2,983 (21%)","14,268",6%,"442,590","10,261"
china,"83,799",0,"4,637",0,"78,277",22,885,50 (6%),885,6%,0,0
brazil,"72,899","6,398","5,063",520,"32,544","1,402","35,292","8,318 (24%)","35,292",7%,"339,552","47,630"
canada,"51,035","1,534","2,980",145,"19,190",975,"28,865",557 (2%),"28,865",6%,"740,859","23,408"
belgium,"47,334",647,"7,331",124,"10,943",65,"29,060",876 (3%),"29,060",15%,"220,204","6,162"
netherlands,"38,516",171,"4,568",48,73,0,"33,875",861 (3%),"33,875",12%,"209,726","15,776"
india,"31,360","1,909","1,008",69,"7,747",610,"22,605",0 (0%),"22,605",3%,"716,733","50,914"
peru,"31,190","2,491",854,72,"9,179",754,"21,157",600 (3%),"21,157",3%,"267,612","28,049"
switzerland,"29,264",100,"1,699",34,"22,600",400,"4,965",185 (4%),"4,965",6%,"256,500","11,200"
portugal,"24,322",295,948,20,"1,389",32,"21,985",172 (1%),"21,985",4%,"379,551","19,396"
ecuador,"24,258","1,018",871,208,"1,557",0,"21,830",146 (1%),"21,830",4%,"61,529",0
saudi-arabia,"20,077","1,266",152,8,"2,784",253,"17,141",118 (1%),"17,141",1%,"200,000",0
ireland,"19,877",229,"1,159",57,"9,233",0,"9,485",146 (2%),"9,485",6%,"153,954","26,635"
sweden,"19,621",695,"2,355",81,"1,005",0,"16,261",524 (3%),"16,261",12%,"119,500","25,000"
israel,"15,728",173,210,6,"7,746",546,"7,772",116 (1%),"7,772",1%,"313,135","10,444"
mexico,"15,529",852,"1,434",83,"9,086",732,"5,009",378 (8%),"5,009",9%,"71,103","3,468"
austria,"15,357",83,569,20,"12,580",218,"2,208",136 (6%),"2,208",4%,"239,578","7,041"
singapore,"14,951",528,14,0,"1,128",33,"13,809",20 (0%),"13,809",0%,"121,774",0
pakistan,"14,612",697,312,20,"3,233",204,"11,067",111 (1%),"11,067",2%,"157,223","6,467"
chile,"14,365",552,207,9,"7,710",383,"6,448",426 (7%),"6,448",1%,"166,165","4,930"
japan,"13,614",173,385,13,"1,899",90,"11,330",300 (3%),"11,330",3%,"150,692","1,618"
poland,"12,218",316,596,34,"2,655",189,"8,967",160 (2%),"8,967",5%,"310,744","12,885"
belarus,"12,208",919,79,4,"1,993",253,"10,136",92 (1%),"10,136",1%,"161,028","7,183"
qatar,"11,921",677,10,0,"1,134",68,"10,777",72 (1%),"10,777",0%,"88,607","2,898"
romania,"11,616",277,663,22,"3,404",263,"7,549",243 (3%),"7,549",6%,"150,309","6,475"
united-arab-emirates,"11,380",541,89,7,"2,181",91,"9,110",1 (0%),"9,110",1%,"1,057,326",0
south-korea,"10,752",14,244,1,"8,854",90,"1,654",55 (3%),"1,654",2%,"608,514","6,854"
indonesia,"9,511",415,773,8,"1,254",103,"7,484",0 (0%),"7,484",8%,"79,618","4,461"
ukraine,"9,410",401,239,19,992,128,"8,179",121 (1%),"8,179",3%,"98,719","5,200"
denmark,"9,038",153,434,7,"6,302",165,"2,302",66 (3%),"2,302",5%,"166,846","11,036"
serbia,"8,497",222,168,6,"1,260",51,"7,069",79 (1%),"7,069",2%,"73,363","5,446"
philippines,"7,958",181,530,19,975,43,"6,453",31 (0%),"6,453",7%,"89,889",0
norway,"7,619",65,206,1,32,0,"7,381",44 (1%),"7,381",3%,"165,951","1,635"
czechia,"7,504",59,227,4,"2,948",122,"4,329",73 (2%),"4,329",3%,"226,255","7,781"
australia,"6,731",11,88,5,"5,626",40,"1,017",42 (4%),"1,017",1%,"530,679","13,616"
bangladesh,"6,462",549,155,3,139,8,"6,168",1 (0%),"6,168",2%,"54,733","4,332"
dominican-republic,"6,416",123,286,4,"1,165",172,"4,965",144 (3%),"4,965",4%,"23,979","1,481"
panama,"6,021",242,167,2,455,86,"5,399",89 (2%),"5,399",3%,"27,834","1,192"
colombia,"5,949",570,269,25,"1,268",135,"4,412",118 (3%),"4,412",5%,"90,899","3,700"
malaysia,"5,851",31,100,1,"4,032",75,"1,719",36 (2%),"1,719",2%,"152,142","7,456"
egypt,"5,042",260,359,22,"1,304",68,"3,379",0 (0%),"3,379",7%,"90,000",0
south-africa,"4,996",203,93,3,"2,073",600,"2,830",36 (1%),"2,830",2%,"185,000","6,530"
finland,"4,740",45,199,6,"2,800",300,"1,741",56 (3%),"1,741",4%,"85,800","3,363"
morocco,"4,252",132,165,3,778,83,"3,309",1 (0%),"3,309",4%,"32,250","2,996"
argentina,"4,003",111,197,5,"1,140",0,"2,666",144 (5%),"2,666",5%,"51,900","1,995"
luxembourg,"3,741",12,89,1,"3,123",0,529,19 (4%),529,2%,"39,741",639
algeria,"3,649",132,437,5,"1,651",93,"1,561",22 (1%),"1,561",12%,"6,500",0
moldova,"3,638",157,103,1,975,50,"2,560",212 (8%),"2,560",3%,"11,763",0
kuwait,"3,440",152,23,1,"1,176",164,"2,241",67 (3%),"2,241",1%,"179,000","179,000"
kazakhstan,"3,027",192,25,0,774,54,"2,228",41 (2%),"2,228",1%,"216,276","10,716"
thailand,"2,938",7,54,2,"2,652",43,232,61 (26%),232,2%,"178,083",0
bahrain,"2,811",88,8,0,"1,310",92,"1,493",2 (0%),"1,493",0%,"121,706","4,332"
hungary,"2,649",66,291,11,516,18,"1,842",49 (3%),"1,842",11%,"67,172","1,547"
greece,"2,566",32,138,2,577,0,"1,851",40 (2%),"1,851",5%,"69,833","3,739"
oman,"2,131",82,10,0,364,0,"1,757",3 (0%),"1,757",0%,0,0
croatia,"2,047",8,63,4,"1,232",66,752,21 (3%),752,3%,"33,577",760
uzbekistan,"1,939",35,8,0,992,100,939,8 (1%),939,0%,"242,536",0
iraq,"1,928",81,90,2,"1,319",33,519,0 (0%),519,5%,"73,782",0
armenia,"1,867",59,30,1,866,18,971,10 (1%),971,2%,"19,296",749
afghanistan,"1,828",125,58,1,228,8,"1,542",7 (0%),"1,542",3%,"9,000",306
iceland,"1,795",3,10,0,"1,636",12,149,1 (1%),149,1%,"46,377",0
azerbaijan,"1,717",39,22,0,"1,221",59,474,15 (3%),474,1%,"132,640","3,833"
cameroon,"1,705",84,58,2,915,129,732,12 (2%),732,3%,0,0
ghana,"1,671",121,16,5,188,33,"1,467",4 (0%),"1,467",1%,"100,622",0
estonia,"1,660",13,50,0,240,7,"1,370",9 (1%),"1,370",3%,"49,527","1,121"
bosnia-and-herzegovina,"1,585",20,63,3,682,23,840,4 (0%),840,4%,"27,603",781
new-zealand,"1,472",3,19,0,"1,214",34,239,1 (0%),239,1%,"126,066","2,146"
cuba,"1,437",48,58,2,575,50,804,12 (1%),804,4%,"43,508","3,680"
north-macedonia,"1,421",22,71,6,589,36,761,13 (2%),761,5%,"15,771",651
slovenia,"1,408",6,86,3,223,2,"1,099",24 (2%),"1,099",6%,"50,290",683
bulgaria,"1,399",36,58,0,222,16,"1,119",39 (3%),"1,119",4%,"27,000",0
slovakia,"1,384",3,20,2,423,20,941,6 (1%),941,1%,"75,866","1,767"
lithuania,"1,344",0,44,3,536,62,764,17 (2%),764,3%,"111,809","5,034"
nigeria,"1,337",64,40,0,255,16,"1,042",2 (0%),"1,042",3%,"10,918",0
guinea,"1,240",77,7,0,269,23,964,0 (0%),964,1%,0,0
ivory-coast,"1,164",14,14,0,499,31,651,0 (0%),651,1%,0,0
djibouti,"1,072",37,2,0,498,21,572,0 (0%),572,0%,"12,571",321
