Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"1,666,829",93,"98,683",10,"446,927",61,"1,121,219","17,133 (2%)","1,121,219",6%,"14,357,969",0
brazil,"349,113","1,715","22,165",152,"142,587",0,"184,361","8,318 (5%)","184,361",6%,"735,224",0
russia,"344,481","8,599","3,541",153,"113,299","5,363","227,641","2,300 (1%)","227,641",1%,"8,600,000","197,253"
spain,"282,370",466,"28,678",50,"196,958",0,"56,734","1,152 (2%)","56,734",10%,"3,037,840",0
united-kingdom,"257,154","2,959","36,675",282,0,0,"220,479","1,559 (1%)","220,479",14%,"3,348,507","116,586"
italy,"229,327",669,"32,735",119,"138,840","2,120","57,752",572 (1%),"57,752",14%,"3,391,188","72,410"
france,"182,469",250,"28,332",43,"64,547",338,"89,590","1,665 (2%)","89,590",16%,"1,384,633",0
germany,"179,986",273,"8,366",14,"159,900",900,"11,720",919 (8%),"11,720",5%,"3,595,059",0
turkey,"155,686","1,186","4,308",32,"117,602","1,491","33,776",775 (2%),"33,776",3%,"1,807,673","40,178"
iran,"133,521","1,869","7,359",59,"104,072","1,796","22,090","2,633 (12%)","22,090",6%,"781,286","17,373"
india,"132,674","1,251","3,899",31,"54,729",344,"74,046","8,944 (12%)","74,046",3%,"2,943,421","108,623"
peru,"115,754","4,056","3,373",129,"47,915","3,067","64,466",909 (1%),"64,466",3%,"788,341","37,815"
canada,"83,621","1,035","6,355",14,"43,305",711,"33,961",502 (1%),"33,961",8%,"1,431,911","26,703"
china,"82,974",3,"4,634",0,"78,261",3,79,8 (10%),79,6%,0,0
saudi-arabia,"70,161","2,442",379,15,"41,236","2,233","28,546",339 (1%),"28,546",1%,"684,615","17,558"
mexico,"65,856","3,329","7,179",190,"44,919","2,194","13,758",378 (3%),"13,758",11%,"215,656","13,818"
chile,"65,393","3,536",673,43,"26,546","1,204","38,174","1,062 (3%)","38,174",1%,"457,332","15,239"
belgium,"57,092",282,"9,280",43,"15,272",117,"32,540",256 (1%),"32,540",16%,"781,284","12,578"
pakistan,"54,601","2,164","1,133",32,"17,198",545,"36,270",111 (0%),"36,270",2%,"473,607","12,915"
netherlands,"45,064",176,"5,811",23,0,0,"39,253",227 (1%),"39,253",13%,"313,755",0
qatar,"42,213","1,732",21,2,"8,513",620,"33,679",177 (1%),"33,679",0%,"184,794","4,152"
ecuador,"36,258",430,"3,096",40,"3,557",0,"29,605",208 (1%),"29,605",9%,"105,462","1,132"
belarus,"36,198",954,199,5,"14,155",627,"21,844",92 (0%),"21,844",1%,"450,627","16,009"
bangladesh,"33,610","1,532",480,28,"6,901",415,"26,229",1 (0%),"26,229",1%,"243,583","8,908"
sweden,"33,188",379,"3,992",67,"4,971",0,"24,225",265 (1%),"24,225",12%,"209,900",0
singapore,"31,616",548,23,0,"13,882",0,"17,711",8 (0%),"17,711",0%,"294,414",0
switzerland,"30,725",18,"1,905",2,"28,000",100,820,51 (6%),820,6%,"367,037","2,716"
portugal,"30,471",271,"1,302",13,"7,705",115,"21,464",80 (0%),"21,464",4%,"689,705",0
united-arab-emirates,"29,485",781,245,1,"15,056",561,"14,184",1 (0%),"14,184",1%,"1,600,923",0
ireland,"24,582",76,"1,604",12,"21,060",0,"1,918",54 (3%),"1,918",7%,"295,626",0
indonesia,"22,271",526,"1,372",21,"5,402",153,"15,497",0 (0%),"15,497",6%,"239,740",0
south-africa,"21,343","1,218",407,10,"10,104",0,"10,832",119 (1%),"10,832",2%,"564,370","21,338"
poland,"21,236",305,995,2,"9,194",217,"11,047",160 (1%),"11,047",5%,"750,939",0
ukraine,"20,986",406,617,12,"7,108",179,"13,261",256 (2%),"13,261",3%,"285,626","7,914"
kuwait,"20,464",900,148,10,"5,747",232,"14,569",192 (1%),"14,569",1%,"268,154","3,195"
colombia,"20,177","1,046",705,23,"4,718",143,"14,754",136 (1%),"14,754",3%,"235,948","21,412"
romania,"18,070",213,"1,179",3,"11,399",212,"5,492",188 (3%),"5,492",7%,"368,482","6,916"
israel,"16,712",22,279,0,"14,090",175,"2,343",47 (2%),"2,343",2%,"536,306","5,182"
japan,"16,536",23,808,12,"13,244",239,"2,484",174 (7%),"2,484",5%,"268,477","2,975"
egypt,"16,513",727,735,28,"4,628",254,"11,150",41 (0%),"11,150",4%,"135,000",0
austria,"16,503",17,640,1,"15,063",26,800,29 (4%),800,4%,"401,857","5,494"
dominican-republic,"14,422",433,458,2,"7,854",282,"6,110",113 (2%),"6,110",3%,"65,355","4,025"
philippines,"14,035",258,868,5,"3,249",72,"9,918",81 (1%),"9,918",6%,"287,294",0
argentina,"11,353",704,445,12,"3,530",468,"7,378",171 (2%),"7,378",4%,"125,893","4,615"
denmark,"11,289",59,561,0,"9,836",72,892,19 (2%),892,5%,"526,285","11,520"
south-korea,"11,190",25,266,0,"10,213",19,711,15 (2%),711,2%,"820,289","5,869"
serbia,"11,092",68,238,1,"5,699",158,"5,155",12 (0%),"5,155",2%,"214,212","4,415"
afghanistan,"10,582",584,218,2,"1,075",35,"9,289",19 (0%),"9,289",2%,"30,052",635
panama,"10,577",310,299,4,"6,279",4,"3,999",72 (2%),"3,999",3%,"56,755","1,737"
czechia,"8,890",77,314,2,"6,044",19,"2,532",29 (1%),"2,532",4%,"394,499","7,372"
bahrain,"8,802",388,13,1,"4,465",369,"4,324",8 (0%),"4,324",0%,"276,552","7,373"
norway,"8,346",14,235,0,"7,727",0,384,13 (3%),384,3%,"229,769",0
kazakhstan,"8,322",403,35,0,"4,214",0,"4,073",31 (1%),"4,073",0%,"657,214","21,502"
algeria,"8,113",195,592,10,"4,426",170,"3,095",22 (1%),"3,095",7%,0,0
oman,"7,770",513,36,0,"1,933",85,"5,801",31 (1%),"5,801",0%,"72,000",0
nigeria,"7,526",265,221,0,"2,174",167,"5,131",7 (0%),"5,131",3%,"43,328","1,421"
morocco,"7,406",74,198,1,"4,638",261,"2,570",1 (0%),"2,570",3%,"133,561","10,159"
malaysia,"7,245",60,115,0,"5,945",33,"1,185",9 (1%),"1,185",2%,"507,682","7,213"
australia,"7,114",3,102,0,"6,508",14,504,5 (1%),504,1%,"1,224,627","32,365"
moldova,"6,994",147,242,5,"3,452",83,"3,300",286 (9%),"3,300",3%,"40,565",0
armenia,"6,302",374,77,3,"2,936",62,"3,289",10 (0%),"3,289",1%,"49,080","1,426"
ghana,"6,617",131,31,0,"1,978",27,"4,608",16 (0%),"4,608",0%,"193,705","1,511"
finland,"6,568",31,306,0,"4,800",0,"1,462",21 (1%),"1,462",5%,"165,600","2,600"
bolivia,"5,579",392,230,15,575,14,"4,774",3 (0%),"4,774",4%,"14,803",0
cameroon,"4,400",0,159,0,"1,822",0,"2,419",28 (1%),"2,419",4%,0,0
iraq,"4,272",308,152,5,"2,585",53,"1,535",0 (0%),"1,535",4%,"181,882","6,052"
luxembourg,"3,990",9,109,0,"3,758",10,123,8 (7%),123,3%,"66,653",929
azerbaijan,"3,982",127,49,3,"2,506",107,"1,427",42 (3%),"1,427",1%,"265,067","12,571"
honduras,"3,743",266,174,7,455,16,"3,114",13 (0%),"3,114",5%,"11,820",0
hungary,"3,741",28,486,4,"1,690",35,"1,565",28 (2%),"1,565",13%,"162,925","3,665"
sudan,"3,628",250,146,9,424,52,"3,058",0 (0%),"3,058",4%,401,7
guinea,"3,176",109,20,1,"1,631",56,"1,525",24 (2%),"1,525",1%,"13,726",0
uzbekistan,"3,132",17,13,0,"2,532",0,587,4 (1%),587,0%,"460,000",0
guatemala,"3,054",311,55,4,244,22,"2,755",5 (0%),"2,755",2%,"25,464",0
thailand,"3,040",3,56,0,"2,916",6,68,61 (90%),68,2%,"328,073",0
senegal,"2,976",67,34,1,"1,416",105,"1,526",6 (0%),"1,526",1%,"34,082","1,199"
