Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"1,685,167","18,431","99,286",613,"451,583","4,717","1,134,298","17,135 (2%)","1,134,298",6%,"14,726,190","362,911"
brazil,"363,211","15,813","22,666",653,"149,911","7,324","190,634","8,318 (4%)","190,634",6%,"735,224",0
russia,"344,481","8,599","3,541",153,"113,299","5,363","227,641","2,300 (1%)","227,641",1%,"8,685,305","282,558"
spain,"282,852",482,"28,752",74,"196,958",0,"57,142",854 (1%),"57,142",10%,"3,556,567","518,727"
united-kingdom,"259,559","2,405","36,793",118,0,0,"222,766","1,559 (1%)","222,766",14%,"3,458,905","110,398"
italy,"229,858",531,"32,785",50,"140,479","1,639","56,594",553 (1%),"56,594",14%,"3,447,012","55,824"
france,"182,584",115,"28,367",35,"64,617",70,"89,600","1,655 (2%)","89,600",16%,"1,384,633",0
germany,"180,328",342,"8,371",5,"160,300",400,"11,657",889 (8%),"11,657",5%,"3,595,059",0
turkey,"156,827","1,141","4,340",32,"118,694","1,092","33,793",769 (2%),"33,793",3%,"1,832,262","24,589"
india,"138,536","7,113","4,024",156,"57,692","3,307","76,820","8,944 (12%)","76,820",3%,"2,943,421","108,623"
iran,"135,701","2,180","7,417",58,"105,801","1,729","22,483","2,615 (12%)","22,483",5%,"800,519","19,233"
peru,"119,959","4,205","3,456",83,"49,795","1,880","66,708",920 (1%),"66,708",3%,"820,967","32,626"
canada,"84,699","1,078","6,457",102,"43,985",680,"34,257",502 (1%),"34,257",8%,"1,459,212","27,301"
china,"82,974",3,"4,634",0,"78,261",3,79,8 (10%),79,6%,0,0
saudi-arabia,"72,560","2,399",390,11,"43,520","2,284","28,650",372 (1%),"28,650",1%,"703,534","18,919"
chile,"69,102","3,709",718,45,"28,148","1,602","40,236","1,090 (3%)","40,236",1%,"471,758","14,426"
mexico,"65,856","3,329","7,179",190,"44,919","2,194","13,758",378 (3%),"13,758",11%,"215,656","13,818"
belgium,"57,092",282,"9,280",43,"15,272",117,"32,540",256 (1%),"32,540",16%,"781,284","12,578"
pakistan,"54,601","2,164","1,133",32,"17,198",545,"36,270",111 (0%),"36,270",2%,"473,607","12,915"
netherlands,"45,236",172,"5,822",11,0,0,"39,414",223 (1%),"39,414",13%,"313,755",0
qatar,"43,714","1,501",23,2,"9,170",657,"34,521",188 (1%),"34,521",0%,"188,143","3,349"
ecuador,"36,756",498,"3,108",12,"3,560",3,"30,088",208 (1%),"30,088",8%,"106,079",617
belarus,"36,198",954,199,5,"14,155",627,"21,844",92 (0%),"21,844",1%,"450,627","16,009"
bangladesh,"33,610","1,532",480,28,"6,901",415,"26,229",1 (0%),"26,229",1%,"243,583","8,908"
