Country,Total confirmed cases,Total deaths,Confirmed recoveries,Cases confirmed today,Deaths today,Recoveries confirmed today
united-states,"242,899","5,865","10,400","28,260",766,"1,522"
italy,"115,242","13,915","18,278","4,668",760,"1,431"
spain,"112,065","10,348","26,743","7,947",961,"4,096"
germany,"84,794","1,107","22,440","6,813",176,"3,740"
china,"82,413","3,322","76,546",53,6,142
france,"59,105","5,387","12,428","2,116","1,355","1,493"
iran,"50,468","3,160","16,711","2,875",124,"1,238"
united-kingdom,"34,151","2,926",192,"4,286",569,13
switzerland,"18,827",536,"4,013","1,059",48,"1,046"
turkey,"18,135",356,415,"2,456",79,82
belgium,"15,348","1,011","2,495","1,384",183,363
netherlands,"14,757","1,339",251,"1,061",164,0
canada,"11,283",173,"1,979","1,552",59,243
austria,"11,123",158,"1,749",412,12,313
south-korea,"9,976",169,"5,828",89,4,261
portugal,"9,034",209,68,783,22,25
brazil,"7,910",299,127,"1,030",57,0
israel,"6,857",36,338,765,10,97
sweden,"5,568",308,103,621,69,0
australia,"5,279",28,585,231,5,163
norway,"5,144",50,32,267,6,19
czechia,"3,858",44,67,269,5,6
ireland,"3,849",98,5,402,13,0
denmark,"3,563",123,"1,170",273,19,199
russia,"3,548",30,235,771,6,45
chile,"3,404",18,335,373,2,101
ecuador,"3,163",120,65,405,22,7
malaysia,"3,116",50,767,208,5,122
poland,"2,946",57,56,392,14,0
romania,"2,738",115,267,278,23,15
philippines,"2,633",107,51,322,11,1
india,"2,543",72,191,545,14,43
japan,"2,495",62,472,111,5,0
luxembourg,"2,487",30,80,168,1,0
pakistan,"2,421",34,125,303,7,31
saudi-arabia,"1,885",21,328,165,5,64
thailand,"1,875",15,505,104,3,0
indonesia,"1,790",170,112,113,13,9
greece,"1,544",53,61,129,2,9
finland,"1,518",19,300,72,2,290
south-africa,"1,462",5,50,82,0,0
peru,"1,414",55,537,91,17,143
dominican-republic,"1,380",60,16,96,3,7
mexico,"1,378",37,35,163,8,0
iceland,"1,319",4,284,99,2,48
panama,"1,317",32,9,0,0,0
serbia,"1,171",31,42,111,3,0
colombia,"1,161",19,55,96,2,16
argentina,"1,133",36,256,0,4,8
singapore,"1,049",4,266,49,1,21
united-arab-emirates,"1,024",8,96,210,0,35
croatia,"1,011",7,88,48,1,15
algeria,986,86,61,139,28,0
qatar,949,3,72,114,1,1
slovenia,897,17,70,56,2,60
ukraine,897,22,19,103,2,6
egypt,865,58,201,86,6,22
estonia,858,11,45,79,6,12
hong-kong,802,4,154,37,0,7
new-zealand,797,1,92,89,0,9
iraq,772,54,202,44,2,20
cruise-ship,712,11,619,0,0,16
morocco,708,44,31,54,5,2
armenia,663,7,33,92,3,2
lithuania,649,9,7,68,1,0
bahrain,643,4,381,74,0,44
hungary,585,21,42,60,1,2
bosnia-and-herzegovina,533,16,20,74,3,1
moldova,505,6,23,82,1,0
lebanon,494,16,46,15,2,3
latvia,458,0,31,12,0,30
bulgaria,457,10,25,35,0,5
tunisia,455,14,5,32,2,0
kazakhstan,435,3,27,55,0,1
andorra,428,15,10,38,1,0
slovakia,426,1,5,26,0,2
azerbaijan,400,5,26,41,0,0
costa-rica,396,2,6,21,0,2
north-macedonia,384,11,17,30,0,0
cyprus,356,10,28,36,1,0
uruguay,350,4,62,0,2,0
kuwait,342,0,81,25,0,1
taiwan,339,5,50,10,0,5
réunion,308,0,40,27,0,0
cameroon,306,7,10,73,1,0
belarus,304,4,53,141,2,0
jordan,299,5,45,21,0,9
burkina-faso,288,16,50,6,0,4
albania,277,16,76,18,1,9
afghanistan,273,6,10,36,2,5
san-marino,245,30,21,9,2,8
cuba,233,6,13,21,0,1
oman,231,1,57,21,0,23
vietnam,227,0,75,9,0,12
honduras,219,14,3,47,4,0
uzbekistan,205,2,25,24,0,13
ghana,204,5,31,9,0,0
malta,196,0,2,8,0,0
senegal,195,1,55,5,0,10
ivory-coast,194,1,15,4,0,6
