Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"1,059,992","24,596","61,508","2,262","145,904","3,953","852,580","18,819 (2%)","852,580",6%,"6,122,727","261,561"
spain,"236,899","4,771","24,275",453,"132,929","9,026","79,695","7,764 (10%)","79,695",10%,"1,414,477","68,917"
italy,"203,591","2,086","27,682",323,"71,252","2,311","104,657","1,795 (2%)","104,657",14%,"1,910,761","63,827"
france,"166,420",509,"24,087",427,"48,228","1,342","94,105","4,207 (4%)","94,105",14%,"463,662",0
united-kingdom,"166,323","4,088","26,162","4,421",823,44,"139,338","1,559 (1%)","139,338",16%,"818,539","55,152"
germany,"161,197","1,285","6,405",91,"120,400","3,000","34,392","2,415 (7%)","34,392",4%,"2,547,052","474,383"
turkey,"117,589","2,936","3,081",89,"44,040","5,231","70,468","1,574 (2%)","70,468",3%,"991,613","43,498"
russia,"99,399","5,841",972,105,"10,286","1,830","88,141","2,300 (3%)","88,141",1%,"3,303,717","164,459"
iran,"93,657","1,073","5,957",80,"73,791","1,352","13,909","2,965 (21%)","13,909",6%,"453,386","10,796"
china,"83,801",2,"4,637",0,"78,327",50,837,50 (6%),837,6%,0,0
brazil,"79,361","6,462","5,511",448,"34,132","1,588","39,718","8,318 (21%)","39,718",7%,"339,552",0
canada,"52,775","1,685","3,151",171,"20,327","1,137","29,297",557 (2%),"29,297",6%,"754,800","13,941"
belgium,"47,859",525,"7,501",170,"11,283",340,"29,075",797 (3%),"29,075",16%,"226,724","6,520"
netherlands,"38,902",386,"4,713",145,73,0,"34,116",804 (2%),"34,116",12%,"213,372","3,646"
peru,"33,931","2,741",943,89,"10,037",858,"22,951",623 (3%),"22,951",3%,"296,262","28,650"
india,"33,062","1,702","1,079",71,"8,437",690,"23,546",0 (0%),"23,546",3%,"770,764","54,031"
switzerland,"29,407",143,"1,716",17,"22,600",0,"5,091",185 (4%),"5,091",6%,"260,500","4,000"
portugal,"24,505",183,973,25,"1,470",81,"22,062",169 (1%),"22,062",4%,"379,551",0
ecuador,"24,258","1,018",871,208,"1,557",0,"21,830",146 (1%),"21,830",4%,"61,529",0
