Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"1,429,113","21,040","85,154","1,786","307,895","12,118","1,036,064","16,349 (2%)","1,036,064",6%,"10,251,452","310,622"
spain,"271,095","1,575","27,104",184,"183,227","2,757","60,764","1,534 (3%)","60,764",10%,"2,467,761",0
russia,"242,271","10,028","2,212",96,"48,003","4,491","192,056","2,300 (1%)","192,056",1%,"5,982,558","177,154"
united-kingdom,"230,853","3,243","33,259",494,937,0,"196,657","1,559 (1%)","196,657",14%,"2,094,209","87,063"
italy,"222,104",888,"31,106",195,"112,541","3,502","78,457",893 (1%),"78,457",14%,"2,735,628","61,973"
brazil,"189,157","11,555","13,158",754,"78,424","5,827","97,575","8,318 (9%)","97,575",7%,"735,224",0
france,"178,060",0,"27,074",83,"58,673",888,"92,313","2,428 (3%)","92,313",15%,"1,384,633",0
germany,"174,098",927,"7,861",123,"148,700","1,500","17,537","1,465 (8%)","17,537",5%,"3,147,771","392,001"
turkey,"143,114","1,639","3,952",58,"101,715","2,826","37,447",998 (3%),"37,447",3%,"1,474,003","33,332"
iran,"112,725","1,958","6,783",50,"89,428","1,071","16,514","2,735 (17%)","16,514",6%,"629,534","14,057"
china,"83,806",10,"4,634",0,"79,032",33,140,10 (7%),140,6%,0,0
india,"78,055","3,763","2,551",136,"26,400","1,980","49,104",0 (0%),"49,104",3%,"1,854,250","94,671"
peru,"76,306","4,247","2,169",112,"24,324","1,000","49,813",806 (2%),"49,813",3%,"553,302","21,133"
canada,"73,506","1,144","5,424",126,"35,164","1,122","32,918",502 (2%),"32,918",7%,"1,163,816","27,832"
belgium,"53,981",202,"8,843",82,"13,937",205,"31,201",420 (1%),"31,201",16%,"605,237","9,706"
saudi-arabia,"44,830","1,905",273,9,"17,622","2,365","26,935",147 (1%),"26,935",1%,"496,948","14,574"
netherlands,"43,211",227,"5,562",52,0,0,"37,649",432 (1%),"37,649",13%,"275,720","5,369"
mexico,"38,324","1,997","3,926",353,"25,935","2,835","8,463",378 (4%),"8,463",10%,"142,204","7,088"
pakistan,"35,298","2,624",761,37,"8,899",344,"25,638",111 (0%),"25,638",2%,"317,699","11,848"
chile,"34,381","2,660",346,11,"14,865",740,"19,170",494 (3%),"19,170",1%,"313,750","10,410"
ecuador,"30,486",67,"2,334",7,"3,433",0,"24,719",190 (1%),"24,719",8%,"87,036","1,813"
switzerland,"30,413",33,"1,870",3,"27,100",300,"1,443",79 (5%),"1,443",6%,"322,084","5,232"
portugal,"28,132",219,"1,175",12,"3,182",169,"23,775",103 (0%),"23,775",4%,"566,172","12,317"
sweden,"27,909",637,"3,460",147,"4,971",0,"19,478",351 (2%),"19,478",12%,"177,500",0
qatar,"26,539","1,390",14,0,"3,143",124,"23,382",72 (0%),"23,382",0%,"139,127","3,833"
belarus,"25,825",952,146,4,"7,711",737,"17,968",92 (1%),"17,968",1%,"296,380","11,935"
singapore,"25,346",675,21,0,"4,809",958,"20,516",19 (0%),"20,516",0%,"224,262","48,658"
ireland,"23,401",159,"1,497",9,"19,470","2,360","2,434",69 (3%),"2,434",6%,"258,808",0
united-arab-emirates,"20,386",725,206,3,"6,523",511,"13,657",1 (0%),"13,657",1%,"1,500,000",0
bangladesh,"17,822","1,162",269,19,"3,361",214,"14,192",1 (0%),"14,192",2%,"144,538","7,900"
poland,"17,204",283,861,22,"6,410",279,"9,933",160 (2%),"9,933",5%,"528,122","20,344"
israel,"16,548",19,264,4,"12,232",149,"4,052",61 (2%),"4,052",2%,"477,151","7,351"
ukraine,"16,425",402,439,14,"3,716",343,"12,270",218 (2%),"12,270",3%,"192,247","4,940"
romania,"16,002",224,"1,036",34,"7,961",276,"7,005",228 (3%),"7,005",6%,"277,804","8,621"
austria,"15,997",36,624,1,"14,304",156,"1,069",55 (5%),"1,069",4%,"336,252","6,938"
japan,"15,968",121,657,24,"8,531",238,"6,780",249 (4%),"6,780",4%,"223,649","5,445"
indonesia,"15,438",689,"1,028",21,"3,287",224,"11,123",0 (0%),"11,123",7%,"169,195","4,067"
colombia,"12,930",658,509,16,"3,133",162,"9,288",130 (1%),"9,288",4%,"165,738","14,342"
south-africa,"12,074",724,219,13,"4,745",388,"7,110",119 (2%),"7,110",2%,"386,352","16,655"
philippines,"11,618",268,772,21,"2,251",145,"8,595",77 (1%),"8,595",7%,"188,649","6,981"
dominican-republic,"11,196",296,409,7,"3,221",0,"7,566",131 (2%),"7,566",4%,"42,615",0
kuwait,"11,028",751,82,7,"3,263",162,"7,683",169 (2%),"7,683",1%,"227,000","30,603"
south-korea,"10,962",26,259,1,"9,695",25,"1,008",55 (5%),"1,008",2%,"695,920","15,030"
denmark,"10,854",76,533,6,"8,850",83,"1,471",37 (3%),"1,471",5%,"345,712","11,452"
egypt,"10,431",338,556,12,"2,486",160,"7,389",41 (1%),"7,389",5%,"90,000",0
serbia,"10,295",52,222,2,"3,824",224,"6,249",22 (0%),"6,249",2%,"156,603","5,299"
panama,"8,783",167,252,3,"6,021","1,334","2,510",87 (3%),"2,510",3%,"44,561",898
czechia,"8,269",71,290,7,"5,047",182,"2,932",43 (1%),"2,932",4%,"326,954","12,816"
norway,"8,175",18,229,1,32,0,"7,914",23 (0%),"7,914",3%,"208,874","3,635"
australia,"6,980",16,98,1,"6,271",42,611,17 (3%),611,1%,"909,025","31,098"
argentina,"6,879",316,329,10,"2,266",404,"4,284",170 (4%),"4,284",5%,"90,474","2,927"
malaysia,"6,779",37,111,2,"5,281",58,"1,387",16 (1%),"1,387",2%,"271,721",0
morocco,"6,512",94,188,0,"3,131",140,"3,193",1 (0%),"3,193",3%,"75,870","4,055"
algeria,"6,253",186,522,7,"3,058",60,"2,673",22 (1%),"2,673",8%,"6,500",0
finland,"6,054",51,284,9,"4,300",0,"1,470",35 (2%),"1,470",5%,"133,200","6,700"
bahrain,"5,816",285,10,1,"2,205",13,"3,601",6 (0%),"3,601",0%,"205,570","7,672"
kazakhstan,"5,417",138,32,0,"2,408",300,"2,977",31 (1%),"2,977",1%,"439,495","17,484"
ghana,"5,408",281,24,2,514,20,"4,870",5 (0%),"4,870",0%,"164,452","2,268"
moldova,"5,406",252,185,3,"2,176",107,"3,045",251 (8%),"3,045",3%,"20,447",0
afghanistan,"5,226",263,132,5,648,38,"4,446",7 (0%),"4,446",3%,"18,724",626
nigeria,"4,971",184,158,0,"1,070",111,"3,743",7 (0%),"3,743",3%,"29,408",990
oman,"4,019",298,17,0,"1,289",39,"2,713",27 (1%),"2,713",0%,"50,000",0
luxembourg,"3,904",10,103,1,"3,629",19,172,22 (13%),172,3%,"57,687","1,293"
armenia,"3,718",180,48,1,"1,500",70,"2,170",10 (0%),"2,170",1%,"34,766","1,453"
hungary,"3,341",28,430,5,"1,102",95,"1,809",45 (2%),"1,809",13%,"118,500","3,781"
iraq,"3,032",119,115,3,"1,966",63,951,0 (0%),951,4%,"136,640","4,183"
thailand,"3,017",2,56,0,"2,798",2,163,61 (37%),163,2%,"227,860",0
bolivia,"2,964",133,128,6,313,14,"2,523",3 (0%),"2,523",4%,"7,651",0
cameroon,"2,800",111,136,11,"1,543",19,"1,121",28 (2%),"1,121",5%,0,0
greece,"2,760",16,155,3,"1,374",0,"1,231",28 (2%),"1,231",6%,"112,042","5,988"
azerbaijan,"2,758",65,35,2,"1,789",109,934,30 (3%),934,1%,"208,546","6,264"
uzbekistan,"2,612",93,11,1,"2,076",66,525,8 (2%),525,0%,"325,000",0
guinea,"2,374",76,14,3,856,40,"1,504",0 (0%),"1,504",1%,0,0
croatia,"2,213",6,94,3,"1,834",26,285,9 (3%),285,4%,"48,737","1,257"
bosnia-and-herzegovina,"2,181",23,120,3,"1,228",60,833,4 (0%),833,6%,"44,380",929
senegal,"2,105",110,21,2,782,40,"1,302",6 (0%),"1,302",1%,"24,599","5,630"
honduras,"2,080",0,121,5,211,5,"1,748",10 (1%),"1,748",6%,"5,653",0
bulgaria,"2,069",46,96,1,499,23,"1,474",51 (3%),"1,474",5%,"60,100","1,387"
ivory-coast,"1,912",55,24,3,902,82,986,0 (0%),986,1%,"15,260",642
sudan,"1,818",157,90,10,198,25,"1,530",0 (0%),"1,530",5%,0,0
