Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"1,570,284","20,591","93,519","1,553","363,133","7,637","1,113,632","17,246 (2%)","1,113,632",6%,"12,628,818","369,544"
russia,"299,941","9,263","2,837",115,"76,130","5,921","220,974","2,300 (1%)","220,974",1%,"7,352,316","205,302"
spain,"278,803",615,"27,778",69,"196,958",0,"54,067","1,152 (2%)","54,067",10%,"3,037,840",0
brazil,"271,628","16,428","17,971","1,132","106,794","6,335","146,863","8,318 (6%)","146,863",7%,"735,224",0
united-kingdom,"249,708","2,747","35,409",570,779,304,"213,520","1,559 (1%)","213,520",14%,"2,772,552","89,836"
italy,"226,699",813,"32,169",162,"129,401","2,075","65,129",716 (1%),"65,129",14%,"3,104,524","63,158"
france,"180,809",882,"28,022",0,"62,563",835,"90,224","1,894 (2%)","90,224",16%,"1,384,633",0
germany,"177,827",538,"8,193",70,"155,700",659,"13,934","1,115 (8%)","13,934",5%,"3,147,771",0
turkey,"151,615","1,022","4,199",28,"112,895","1,318","34,521",882 (3%),"34,521",3%,"1,675,517","25,382"
iran,"124,603","2,111","7,119",62,"97,173","1,512","20,311","2,698 (13%)","20,311",6%,"716,176","14,536"
india,"106,475","6,135","3,302",146,"42,309","3,076","60,864",0 (0%),"60,864",3%,"2,404,267","101,475"
peru,"99,483","4,550","2,914",125,"36,524","6,218","60,045",883 (1%),"60,045",3%,"679,582","18,450"
china,"82,960",6,"4,634",0,"78,241",3,85,10 (12%),85,6%,0,0
canada,"79,764","1,080","6,014",65,"40,050",822,"33,700",502 (1%),"33,700",8%,"1,331,173","11,186"
saudi-arabia,"59,854","2,509",329,9,"31,634","2,886","27,891",251 (1%),"27,891",1%,"618,084","16,130"
belgium,"55,791",232,"9,108",28,"14,687",30,"31,996",345 (1%),"31,996",16%,"709,818","12,978"
mexico,"51,633","2,414","5,332",155,"35,388","2,059","10,913",378 (3%),"10,913",10%,"177,133","4,839"
chile,"49,579","3,520",509,31,"21,507","1,342","27,563",876 (3%),"27,563",1%,"397,200","16,189"
netherlands,"44,249",108,"5,715",21,0,0,"38,534",293 (1%),"38,534",13%,"302,395","5,048"
pakistan,"43,966","1,841",939,36,"12,489",567,"30,538",111 (0%),"30,538",2%,"400,292","12,957"
qatar,"35,606","1,637",15,0,"5,634",735,"29,957",172 (1%),"29,957",0%,"166,182","4,487"
ecuador,"34,151",569,"2,839",40,"3,457",24,"27,855",221 (1%),"27,855",8%,"98,171","1,635"
belarus,"31,508",936,175,4,"10,620",490,"20,713",92 (0%),"20,713",1%,"375,076","10,757"
sweden,"30,799",422,"3,743",45,"4,971",0,"22,085",287 (1%),"22,085",12%,"209,900","32,400"
switzerland,"30,618",21,"1,891",5,"27,700",100,"1,027",57 (6%),"1,027",6%,"350,099","4,339"
portugal,"29,432",223,"1,247",16,"6,431",1,"21,754",101 (0%),"21,754",4%,"662,375","9,878"
singapore,"28,794",451,22,0,"10,365",530,"18,407",10 (0%),"18,407",0%,"246,254",0
bangladesh,"25,121","1,251",370,21,"4,993",408,"19,758",1 (0%),"19,758",1%,"193,645","8,559"
united-arab-emirates,"25,063",873,227,3,"10,791","1,214","14,045",1 (0%),"14,045",1%,"1,600,923",0
ireland,"24,251",51,"1,561",14,"19,470",0,"3,220",54 (2%),"3,220",6%,"295,626","36,818"
poland,"19,268",383,948,12,"7,903",275,"10,417",160 (2%),"10,417",5%,"653,224","17,178"
ukraine,"18,876",260,548,13,"5,632",356,"12,696",245 (2%),"12,696",3%,"239,961","7,062"
indonesia,"18,496",486,"1,221",30,"4,467",143,"12,808",0 (0%),"12,808",7%,"202,936","12,276"
south-africa,"17,200",767,312,26,"7,960",662,"8,928",119 (1%),"8,928",2%,"488,609","13,538"
romania,"17,191",155,"1,137",17,"10,166",236,"5,888",195 (3%),"5,888",7%,"322,074","8,453"
colombia,"16,935",640,613,21,"4,050",147,"12,272",136 (1%),"12,272",4%,"201,808","11,694"
kuwait,"16,764","1,073",121,3,"4,681",342,"11,962",179 (1%),"11,962",1%,"252,696","4,382"
israel,"16,659",16,278,2,"13,435",182,"2,946",50 (2%),"2,946",2%,"512,452","6,750"
austria,"16,321",52,632,3,"14,678",64,"1,011",39 (4%),"1,011",4%,"372,435","6,366"
japan,"16,305",20,749,5,"11,564",411,"3,992",228 (6%),"3,992",5%,"250,151","5,699"
egypt,"13,484",720,659,14,"3,742",302,"9,083",41 (0%),"9,083",5%,"135,000",0
dominican-republic,"13,223",498,441,7,"6,613",0,"6,169",136 (2%),"6,169",3%,"50,108",0
philippines,"12,942",224,837,6,"2,843",114,"9,262",81 (1%),"9,262",6%,"244,800",0
south-korea,"11,078",13,263,0,"9,938",34,877,15 (2%),877,2%,"765,574","12,363"
denmark,"11,044",76,551,3,"9,416",115,"1,077",25 (2%),"1,077",5%,"475,096","12,080"
serbia,"10,733",34,234,3,"4,904",105,"5,595",15 (0%),"5,595",2%,"190,683","5,298"
panama,"9,867",261,281,6,"6,194",113,"3,392",72 (2%),"3,392",3%,"51,815","1,467"
argentina,"8,809",438,393,11,"2,872",247,"5,544",154 (3%),"5,544",4%,"105,829",0
czechia,"8,647",61,302,5,"5,726",85,"2,619",33 (1%),"2,619",3%,"363,963","7,448"
norway,"8,267",10,233,0,32,0,"8,002",16 (0%),"8,002",3%,"219,984","1,945"
afghanistan,"7,653",581,178,5,850,49,"6,625",19 (0%),"6,625",2%,"24,697","1,200"
bahrain,"7,532",348,12,0,"2,952",21,"4,568",9 (0%),"4,568",0%,"249,411","6,380"
algeria,"7,377",176,561,6,"3,746",121,"3,070",22 (1%),"3,070",8%,"6,500",0
australia,"7,068",8,100,1,"6,413",21,555,11 (2%),555,1%,"1,085,870","23,836"
morocco,"7,023",71,193,1,"3,901",143,"2,929",1 (0%),"2,929",3%,"100,367","5,772"
malaysia,"6,978",37,114,1,"5,646",31,"1,218",11 (1%),"1,218",2%,"462,257","18,994"
kazakhstan,"6,751",311,35,0,"3,598",129,"3,118",31 (1%),"3,118",1%,"553,062","12,354"
nigeria,"6,401",226,192,1,"1,734",90,"4,475",7 (0%),"4,475",3%,"36,899","1,554"
finland,"6,399",19,301,1,"5,000",0,"1,098",25 (2%),"1,098",5%,"152,300","2,600"
moldova,"6,340",202,221,4,"2,508",83,"3,611",251 (7%),"3,611",3%,"20,447",0
ghana,"6,096",361,31,2,"1,773",19,"4,292",5 (0%),"4,292",1%,"180,567","7,471"
oman,"5,671",292,27,2,"1,574",78,"4,070",31 (1%),"4,070",0%,"61,000",0
armenia,"5,041",218,64,3,"2,164",145,"2,813",10 (0%),"2,813",1%,"43,041","1,191"
bolivia,"4,263",175,174,5,503,10,"3,586",3 (0%),"3,586",4%,"14,803",0
luxembourg,"3,958",11,109,2,"3,718",3,131,10 (8%),131,3%,"63,011",751
iraq,"3,611",57,131,4,"2,366",56,"1,114",0 (0%),"1,114",4%,"149,701",0
hungary,"3,556",21,467,5,"1,412",12,"1,677",46 (3%),"1,677",13%,"138,697","1,454"
cameroon,"3,529",424,140,0,"1,567",0,"1,822",28 (2%),"1,822",4%,0,0
azerbaijan,"3,518",131,41,1,"2,198",143,"1,279",37 (3%),"1,279",1%,"240,220","4,310"
thailand,"3,033",2,56,0,"2,857",0,120,61 (51%),120,2%,"286,008",0
guinea,"2,863",67,18,2,"1,525",262,"1,320",18 (1%),"1,320",1%,"10,304",0
uzbekistan,"2,855",64,13,0,"2,338",24,504,6 (1%),504,0%,"460,000",0
greece,"2,840",4,165,0,"1,374",0,"1,301",22 (2%),"1,301",6%,"136,001","4,317"
honduras,"2,798",152,146,4,340,21,"2,312",14 (1%),"2,312",5%,"10,775","5,122"
sudan,"2,728",137,111,6,286,39,"2,331",0 (0%),"2,331",4%,281,281
senegal,"2,617",73,30,4,"1,133",57,"1,454",6 (0%),"1,454",1%,"24,599",0
bosnia-and-herzegovina,"2,321",17,134,1,"1,522",58,665,4 (1%),665,6%,"53,988","2,668"
bulgaria,"2,259",24,112,2,646,34,"1,501",36 (2%),"1,501",5%,"66,810",874
croatia,"2,232",4,96,1,"1,967",21,169,10 (6%),169,4%,"55,800",980
ivory-coast,"2,153",34,28,0,"1,050",10,"1,075",0 (0%),"1,075",1%,"18,608",0
guatemala,"2,001",89,38,3,139,1,"1,824",5 (0%),"1,824",2%,"20,820",0
tajikistan,"1,936",207,41,0,641,641,"1,254",0 (0%),"1,254",2%,0,0
cuba,"1,887",6,79,0,"1,538",33,270,8 (3%),270,4%,"85,556","1,688"
north-macedonia,"1,839",22,106,2,"1,351",50,382,21 (5%),382,6%,"22,255",533
iceland,"1,802",0,10,0,"1,786",0,6,0 (0%),6,1%,"56,882",7
estonia,"1,791",7,64,0,938,0,789,4 (1%),789,4%,"70,188",0
