Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
USA,"396,215","29,609","12,790","1,931","21,674","2,101","361,751","9,169 (3%)","361,751",3%,"2,065,073","151,605"
USA,"141,942","5,267","14,045",704,"43,208","2,771","84,689","7,069 (8%)","84,689",10%,"355,000",0
USA,"135,586","3,039","17,127",604,"24,392","1,555","94,067","3,792 (4%)","94,067",13%,"755,445","33,713"
USA,"109,069","11,059","10,328","1,417","19,337","2,087","79,404","7,131 (9%)","79,404",9%,"224,254",0
USA,"107,663","4,289","2,016",206,"36,081","7,381","69,566","4,895 (7%)","69,566",2%,"918,460",0
USA,"82,699",53,"3,335",0,"77,391",100,"1,973",211 (11%),"1,973",4%,0,0
USA,"62,589","2,089","3,872",133,"27,039","2,803","31,678","3,987 (13%)","31,678",6%,"211,136","25,136"
USA,"55,924","3,667","6,170",786,325,38,"49,429","1,559 (3%)","49,429",11%,"266,694","13,736"
USA,"34,109","3,892",725,76,"1,582",256,"31,802","1,474 (5%)","31,802",2%,"228,868","26,023"
USA,"22,253",596,821,56,"8,704",648,"12,728",391 (3%),"12,728",4%,"167,429","4,929"
USA,"22,194","1,380","2,035",403,"4,157",171,"16,002","1,260 (8%)","16,002",9%,"80,512","10,512"
USA,"19,694",783,"2,107",234,265,12,"17,322","1,424 (8%)","17,322",11%,"86,589",0
USA,"17,897","1,230",381,43,"4,028",412,"13,488",426 (3%),"13,488",2%,"346,507","15,606"
USA,"14,034","1,851",686,122,127,0,"13,221",296 (2%),"13,221",5%,"54,824",0
USA,"12,639",342,243,23,"4,046",583,"8,350",243 (3%),"8,350",2%,"115,235","3,939"
USA,"12,442",712,345,34,184,44,"11,913",271 (2%),"11,913",3%,"121,256","11,256"
USA,"10,331",47,192,6,"6,694",96,"3,445",55 (2%),"3,445",2%,"477,304","16,071"
USA,"9,248",344,65,8,770,185,"8,413",149 (2%),"8,413",1%,"117,339","7,615"
USA,"7,693",487,591,114,205,0,"6,897",640 (9%),"6,897",8%,"54,700","17,800"
USA,"7,497","1,154",58,11,494,88,"6,945",8 (0%),"6,945",1%,"795,000","37,000"
USA,"6,086",221,89,13,32,0,"5,965",78 (1%),"5,965",1%,"113,896","2,597"
USA,"5,988",93,49,8,"2,547",115,"3,392",93 (3%),"3,392",1%,"310,700","7,164"
USA,"5,709",345,210,36,25,0,"5,474",165 (3%),"5,474",4%,"42,484","12,271"
USA,"5,311",533,150,14,421,46,"4,740",0 (0%),"4,740",3%,"140,293",0
