Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"534,494","2,551","20,637",82,"30,548",730,"483,309","11,471 (2%)","483,309",4%,"2,699,678","28,670"
spain,"166,019","2,992","16,972",366,"62,391","3,282","86,656","7,371 (9%)","86,656",10%,"355,000",0
italy,"152,271","4,694","19,468",619,"32,534","2,079","100,269","3,381 (3%)","100,269",13%,"963,473","56,609"
france,"129,654","4,785","13,832",635,"26,391","1,459","89,431","6,883 (8%)","89,431",11%,"333,807",0
germany,"125,834",382,"2,886",15,"57,400",0,"65,548","4,895 (7%)","65,548",2%,"1,317,887",0
united-kingdom,"85,144","5,298","10,628",737,622,3,"73,894","1,559 (2%)","73,894",12%,"352,974","18,000"
china,"83,115",120,"3,343",0,"77,937",79,"1,835",139 (8%),"1,835",4%,0,0
iran,"71,686","1,657","4,474",117,"43,894","1,947","23,318","3,930 (17%)","23,318",6%,"263,388","11,685"
turkey,"52,167","5,138","1,101",95,"2,965",542,"48,101","1,626 (3%)","48,101",2%,"340,380","33,170"
belgium,"29,647","1,629","3,600",254,"6,463",477,"19,584","1,223 (6%)","19,584",12%,"102,151",0
netherlands,"25,729","1,174","2,746",94,284,0,"22,699","1,384 (6%)","22,699",11%,"101,534",0
switzerland,"25,300",193,"1,081",45,"12,100",0,"12,119",386 (3%),"12,119",4%,"193,800","3,800"
canada,"23,318","1,170",653,84,"6,428",415,"16,237",557 (3%),"16,237",3%,"401,552","31,237"
brazil,"21,042",80,"1,144",4,173,0,"19,725",296 (2%),"19,725",5%,"62,985",0
portugal,"16,585",598,504,34,277,11,"15,804",228 (1%),"15,804",3%,"163,616",818
russia,"15,770","2,186",130,24,"1,291",246,"14,349",8 (0%),"14,349",1%,"1,200,000","15,558"
austria,"13,945",139,350,13,"6,987",383,"6,608",243 (4%),"6,608",3%,"144,877","3,902"
israel,"10,878",135,103,2,"1,388",47,"9,387",174 (2%),"9,387",1%,"117,339",0
south-korea,"10,512",32,214,3,"7,368",125,"2,930",55 (2%),"2,930",2%,"514,621","4,142"
sweden,"10,483",332,899,12,381,0,"9,203",839 (9%),"9,203",9%,"54,700",0
ireland,"8,928",839,320,33,25,0,"8,583",194 (2%),"8,583",4%,"53,000",0
india,"8,504",58,289,1,972,3,"7,243",0 (0%),"7,243",3%,"189,111",0
ecuador,"7,257",96,315,18,411,43,"6,531",184 (3%),"6,531",4%,"21,568",0
chile,"7,213",286,73,0,"2,059",195,"5,081",383 (8%),"5,081",1%,"76,374",0
peru,"6,848",951,181,12,"1,739",170,"4,928",142 (3%),"4,928",3%,"67,712","11,031"
japan,"6,748",743,108,9,762,0,"5,878",117 (2%),"5,878",2%,"68,771","4,384"
norway,"6,485",76,124,5,32,0,"6,329",59 (1%),"6,329",2%,"126,486","2,207"
denmark,"6,358",178,273,13,"2,280",180,"3,805",104 (3%),"3,805",4%,"70,125","2,354"
poland,"6,356",401,208,27,375,57,"5,773",160 (3%),"5,773",3%,"129,560","11,265"
australia,"6,313",10,60,3,"3,338",73,"2,915",81 (3%),"2,915",1%,"353,941","2,561"
romania,"6,300",310,306,15,852,94,"5,142",204 (4%),"5,142",5%,"62,328","3,056"
czechia,"5,905",3,132,3,422,11,"5,351",87 (2%),"5,351",2%,"125,126","4,841"
pakistan,"5,170",159,88,2,"1,026",264,"4,056",37 (1%),"4,056",2%,"61,801","3,965"
malaysia,"4,683",153,76,3,"2,108",113,"2,499",66 (3%),"2,499",2%,"71,897",0
philippines,"4,648",220,297,50,197,40,"4,154",1 (0%),"4,154",6%,"33,814","9,314"
saudi-arabia,"4,462",429,59,7,761,41,"3,642",67 (2%),"3,642",1%,"115,585",0
indonesia,"4,241",399,373,46,359,73,"3,509",0 (0%),"3,509",9%,"27,075","7,623"
mexico,"4,219",375,273,40,"1,772","1,139","2,174",89 (4%),"2,174",6%,"35,479","3,987"
united-arab-emirates,"3,736",376,20,4,588,170,"3,128",1 (0%),"3,128",1%,"648,195","55,100"
serbia,"3,630",250,80,6,118,0,"3,432",146 (4%),"3,432",2%,"18,312","1,913"
luxembourg,"3,270",47,62,8,500,0,"2,708",30 (1%),"2,708",2%,"28,965",692
panama,"3,234",260,79,5,23,6,"3,132",104 (3%),"3,132",2%,"14,588","2,812"
qatar,"2,979",251,7,1,275,28,"2,697",37 (1%),"2,697",0%,"49,102","1,351"
finland,"2,974",69,56,7,300,0,"2,618",80 (3%),"2,618",2%,"45,019",665
ukraine,"2,777",266,83,10,89,10,"2,605",45 (2%),"2,605",3%,"30,314","3,737"
dominican-republic,"2,759",139,135,9,108,10,"2,516",147 (6%),"2,516",5%,"8,469",533
colombia,"2,709",236,100,20,214,17,"2,395",92 (4%),"2,395",4%,"40,603","3,010"
belarus,"2,578",352,26,3,203,31,"2,349",50 (2%),"2,349",1%,"64,000","11,000"
thailand,"2,551",33,38,3,"1,218",83,"1,295",61 (5%),"1,295",1%,"71,860",0
singapore,"2,299",191,8,1,528,36,"1,763",31 (2%),"1,763",0%,"72,680",0
argentina,"2,142",167,90,7,440,0,"1,612",83 (5%),"1,612",4%,"19,758","3,379"
greece,"2,081",70,93,1,269,0,"1,719",75 (4%),"1,719",4%,"37,344","1,812"
south-africa,"2,028",25,25,1,410,0,"1,593",7 (0%),"1,593",1%,"75,053","2,025"
egypt,"1,939",145,146,11,426,42,"1,367",0 (0%),"1,367",8%,"25,000",0
algeria,"1,825",64,275,19,460,55,"1,090",46 (4%),"1,090",15%,"3,359",0
iceland,"1,701",12,8,0,889,48,804,10 (1%),804,0%,"35,253",618
moldova,"1,662",102,31,1,94,19,"1,537",80 (5%),"1,537",2%,"6,271",0
morocco,"1,617",72,113,2,153,7,"1,351",1 (0%),"1,351",7%,"8,473",739
croatia,"1,600",66,23,2,373,50,"1,204",34 (3%),"1,204",1%,"16,381",690
hungary,"1,410",100,99,14,118,3,"1,193",58 (5%),"1,193",7%,"33,532","1,571"
new-zealand,"1,330",18,4,0,471,49,855,5 (1%),855,0%,"61,167","2,421"
iraq,"1,318",39,72,2,601,51,645,0 (0%),645,5%,"33,889","1,731"
estonia,"1,309",5,25,1,98,5,"1,186",11 (1%),"1,186",2%,"30,349",893
kuwait,"1,234",80,1,0,142,9,"1,091",29 (3%),"1,091",0%,0,0
slovenia,"1,205",17,53,3,150,2,"1,002",35 (3%),"1,002",4%,"34,851",572
azerbaijan,"1,098",40,11,0,250,50,837,27 (3%),837,1%,"66,677","5,335"
bahrain,"1,087",47,6,0,557,2,524,3 (1%),524,1%,"60,425",0
lithuania,"1,053",27,23,0,97,43,933,14 (2%),933,2%,"40,712","2,240"
armenia,"1,013",46,13,0,197,24,803,30 (4%),803,1%,"7,164",680
hong-kong,"1,005",4,4,0,360,24,641,13 (2%),641,0%,"96,709",0
bosnia-and-herzegovina,"1,000",54,38,1,193,54,769,4 (1%),769,4%,"10,975","4,064"
kazakhstan,911,46,10,0,99,18,802,21 (3%),802,1%,"69,304","7,349"
uzbekistan,833,66,4,0,65,23,764,8 (1%),764,0%,"70,000",0
north-macedonia,828,68,34,0,41,0,753,15 (2%),753,4%,"8,057",404
cameroon,820,0,12,0,98,0,710,0 (0%),710,1%,0,0
slovakia,742,14,2,0,23,0,717,5 (1%),717,0%,"27,426","1,580"
cruise-ship,712,0,11,0,619,0,82,10 (12%),82,2%,0,0
tunisia,685,14,28,3,43,18,614,85 (14%),614,4%,"10,676",589
bulgaria,675,14,29,1,68,6,578,35 (6%),578,4%,"18,502",0
latvia,651,21,5,2,16,0,630,2 (0%),630,1%,"28,214",418
andorra,638,37,29,3,128,57,481,17 (4%),481,5%,"1,673",0
lebanon,630,11,20,0,77,0,533,34 (6%),533,3%,"15,152","1,097"
bangladesh,621,139,34,4,39,3,548,1 (0%),548,5%,"9,653","1,340"
cuba,620,56,16,1,77,26,527,11 (2%),527,3%,"13,162","1,139"
cyprus,616,21,10,0,61,3,545,8 (1%),545,2%,"17,119",811
afghanistan,607,52,18,0,32,0,557,0 (0%),557,3%,0,0
oman,599,53,3,0,109,0,487,3 (1%),487,1%,0,0
costa-rica,577,19,3,0,49,7,525,13 (2%),525,1%,"6,608",310
ivory-coast,533,53,4,1,58,4,471,0 (0%),471,1%,0,0
uruguay,501,7,7,0,224,10,270,17 (6%),270,1%,"8,114",618
niger,491,53,11,0,41,0,439,0 (0%),439,2%,"4,298",0
burkina-faso,484,36,27,1,155,6,302,0 (0%),302,6%,0,0
albania,446,13,23,0,217,20,206,7 (3%),206,5%,"3,877",233
ghana,408,30,8,2,4,0,396,2 (1%),396,2%,"37,405",0
channel-islands,407,9,9,0,48,8,350,0 (0%),350,2%,"3,320","2,163"
honduras,393,1,25,1,7,0,361,10 (3%),361,6%,"1,600",0
taiwan,388,3,6,0,109,10,273,0 (0%),273,2%,"46,547","1,111"
réunion,388,6,0,0,40,0,348,3 (1%),348,0%,0,0
jordan,381,9,7,0,177,7,197,5 (3%),197,2%,"20,500","3,500"
malta,378,8,3,0,44,28,331,4 (1%),331,1%,"17,058","1,042"
kyrgyzstan,377,38,5,0,44,0,328,5 (2%),328,1%,"9,618",0
san-marino,356,12,35,1,53,3,268,14 (5%),268,10%,846,0
mauritius,319,1,9,0,28,5,282,3 (1%),282,3%,"6,730",0
nigeria,318,13,10,3,70,12,238,2 (1%),238,3%,"5,000",0
bolivia,300,25,24,4,2,0,274,3 (1%),274,8%,"2,185",0
