Country,Total confirmed cases,Total deaths,Confirmed recoveries,Cases confirmed today,Deaths today,Recoveries confirmed today
united-states,"368,441","10,992","19,814","337,635",36%,"1,933,423"
spain,"140,510","13,798","43,208","83,504",24%,"355,000"
italy,"132,547","16,523","22,837","93,187",42%,"721,732"
germany,"103,375","1,810","36,081","65,484",5%,"918,460"
france,"98,010","8,911","17,250","71,849",34%,"224,254"
china,"82,699","3,335","77,391","1,973",4%,0
iran,"62,589","3,872","27,039","31,678",13%,"211,136"
united-kingdom,"52,279","5,384",305,"46,590",95%,"252,958"
turkey,"30,217",649,"1,326","28,242",33%,"202,845"
switzerland,"22,242",787,"8,056","13,399",9%,"167,429"
belgium,"22,194","2,035","4,157","16,002",33%,"70,000"
netherlands,"19,688","2,107",253,"17,328",89%,"86,589"
canada,"16,667",338,"3,616","12,713",9%,"330,901"
austria,"12,488",243,"4,046","8,199",6%,"115,235"
portugal,"12,442",345,184,"11,913",65%,"110,000"
brazil,"12,240",566,127,"11,547",82%,"54,824"
south-korea,"10,331",192,"6,694","3,445",3%,"461,233"
israel,"9,006",60,683,"8,263",8%,"109,724"
sweden,"7,693",591,205,"6,897",74%,"54,700"
russia,"7,497",58,494,"6,945",11%,"795,000"
australia,"5,908",48,"2,547","3,313",2%,"310,700"
norway,"5,866",83,32,"5,751",72%,"111,299"
ireland,"5,364",174,25,"5,165",87%,"30,213"
denmark,"5,162",203,"1,620","3,339",11%,"52,936"
india,"4,908",137,382,"4,389",26%,"140,293"
czechia,"4,828",80,127,"4,621",39%,"91,247"
chile,"4,815",37,728,"4,050",5%,"54,864"
poland,"4,532",111,191,"4,230",37%,"92,215"
romania,"4,417",184,460,"3,773",29%,"43,578"
pakistan,"4,004",55,429,"3,520",11%,"39,183"
malaysia,"3,963",63,"1,321","2,579",5%,"55,566"
japan,"3,906",92,592,"3,222",13%,"46,172"
philippines,"3,764",177,84,"3,503",68%,"22,958"
ecuador,"3,747",191,100,"3,456",66%,"13,039"
luxembourg,"2,843",41,500,"2,302",8%,"24,291"
saudi-arabia,"2,752",38,551,"2,163",6%,0
indonesia,"2,738",221,204,"2,313",52%,"13,186"
peru,"2,561",92,997,"1,472",8%,"20,414"
mexico,"2,439",125,633,"1,681",16%,"20,475"
finland,"2,308",34,300,"1,974",10%,"34,900"
thailand,"2,258",27,824,"1,407",3%,"25,071"
serbia,"2,200",58,118,"2,024",33%,"8,552"
panama,"2,100",55,14,"2,031",80%,"10,297"
united-arab-emirates,"2,076",11,167,"1,898",6%,"220,000"
qatar,"1,832",4,131,"1,697",3%,"38,108"
dominican-republic,"1,828",86,33,"1,709",72%,"4,542"
greece,"1,755",79,269,"1,407",23%,"26,193"
south-africa,"1,686",12,95,"1,579",11%,"58,098"
argentina,"1,628",53,325,"1,250",14%,"10,709"
colombia,"1,579",46,88,"1,445",34%,"27,685"
iceland,"1,562",6,460,"1,096",1%,"27,880"
ukraine,"1,462",45,28,"1,389",62%,"6,385"
algeria,"1,423",173,90,"1,160",66%,"3,359"
singapore,"1,375",6,344,"1,025",2%,"65,000"
egypt,"1,322",85,259,978,25%,"25,000"
croatia,"1,282",16,167,"1,099",9%,"11,464"
new-zealand,"1,160",1,241,918,0%,"42,826"
