Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"1,187,233","27,803","68,566","1,175","178,263","17,595","940,404","16,139 (2%)","940,404",6%,"7,188,538","263,419"
spain,"247,122","1,555","25,264",164,"148,558","2,325","73,300","2,386 (3%)","73,300",10%,"1,932,455","403,622"
italy,"210,717","1,389","28,884",174,"81,654","1,740","100,179","1,501 (1%)","100,179",14%,"2,153,772","44,935"
united-kingdom,"187,721","4,340","28,516",315,860,0,"158,345","1,559 (1%)","158,345",15%,"1,206,405","76,498"
france,"168,693",297,"24,895",135,"50,784",222,"93,014","3,819 (4%)","93,014",15%,"1,100,228",0
germany,"165,664",697,"6,866",54,"130,600","1,600","28,198","1,979 (7%)","28,198",4%,"2,547,052",0
russia,"134,687","10,633","1,280",58,"16,639","1,626","116,768","2,300 (2%)","116,768",1%,"4,100,000","154,482"
turkey,"126,045","1,670","3,397",61,"63,151","4,892","59,497","1,424 (2%)","59,497",3%,"1,135,367","24,001"
brazil,"101,147","4,588","7,025",275,"42,991","2,054","51,131","8,318 (16%)","51,131",7%,"339,552",0
iran,"97,424",976,"6,203",47,"78,422","1,072","12,799","2,690 (21%)","12,799",6%,"496,273","11,732"
china,"83,744",1,"4,634",0,"78,382",17,728,37 (5%),728,6%,0,0
canada,"60,445","2,576","3,794",111,"24,908","1,107","31,743",557 (2%),"31,743",6%,"893,490","61,268"
belgium,"49,906",389,"7,844",79,"12,309",98,"29,753",674 (2%),"29,753",16%,"423,971","162,975"
peru,"45,928","3,394","1,286",86,"13,550","1,116","31,092",679 (2%),"31,092",3%,"375,096","19,492"
india,"42,505","2,806","1,391",68,"11,775",956,"29,339",0 (0%),"29,339",3%,"1,046,450","70,087"
netherlands,"40,671",335,"5,058",69,81,0,"35,532",688 (2%),"35,532",12%,"225,899",0
switzerland,"29,905",88,"1,762",0,"24,500",300,"3,643",141 (4%),"3,643",6%,"280,220","4,220"
ecuador,"29,538","2,074","1,564",193,"3,300","1,168","24,674",149 (1%),"24,674",5%,"78,659","4,730"
saudi-arabia,"27,011","1,552",184,8,"4,134",369,"22,693",139 (1%),"22,693",1%,"352,555","12,780"
portugal,"25,282",92,"1,043",20,"1,689",18,"22,550",144 (1%),"22,550",4%,"426,836",0
sweden,"22,317",235,"2,679",10,"1,005",0,"18,633",403 (2%),"18,633",12%,"119,500",0
mexico,"22,088","1,349","2,061",89,"13,447","1,070","6,580",378 (6%),"6,580",9%,"93,791","2,603"
