Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"1,571,018",548,"93,542",19,"361,227",74,"1,116,249","17,249 (2%)","1,116,249",6%,"12,647,099","8,846"
russia,"308,705","8,764","2,972",135,"85,392","9,262","220,341","2,300 (1%)","220,341",1%,"7,500,000","147,684"
spain,"278,803",615,"27,778",69,"196,958",0,"54,067","1,152 (2%)","54,067",10%,"3,037,840",0
brazil,"271,885","16,685","17,983","1,144","106,794","6,335","147,108","8,318 (6%)","147,108",7%,"735,224",0
united-kingdom,"249,373",0,"35,385",0,479,0,"213,509","1,559 (1%)","213,509",14%,"2,772,552",0
italy,"226,699",813,"32,169",162,"129,401","2,075","65,129",716 (1%),"65,129",14%,"3,104,524","63,158"
france,"180,809",882,"28,022",0,"62,563",835,"90,224","1,894 (2%)","90,224",16%,"1,384,633",0
germany,"177,842",15,"8,193",0,"156,900","1,200","12,749","1,115 (9%)","12,749",5%,"3,147,771",0
turkey,"151,615","1,022","4,199",28,"112,895","1,318","34,521",882 (3%),"34,521",3%,"1,675,517","25,382"
iran,"124,603","2,111","7,119",62,"97,173","1,512","20,311","2,698 (13%)","20,311",6%,"716,176","14,536"
india,"106,886",411,"3,303",1,"42,309",0,"61,274",0 (0%),"61,274",3%,"2,512,388","108,121"
peru,"99,483","4,550","2,914",125,"36,524","6,218","60,045",883 (1%),"60,045",3%,"679,582","18,450"
china,"82,965",5,"4,634",0,"78,244",3,87,9 (10%),87,6%,0,0
canada,"79,771",5,"6,017",0,"40,050",0,"33,704",502 (1%),"33,704",8%,"1,339,971",76
saudi-arabia,"59,854","2,509",329,9,"31,634","2,886","27,891",251 (1%),"27,891",1%,"618,084","16,130"
belgium,"55,983",192,"9,150",42,"14,847",160,"31,986",313 (1%),"31,986",16%,"720,228","10,410"
mexico,"54,346","2,713","5,666",334,"37,325","1,937","11,355",378 (3%),"11,355",10%,"185,755","8,622"
chile,"49,579","3,520",509,31,"21,507","1,342","27,563",876 (3%),"27,563",1%,"397,200","16,189"
pakistan,"45,898","1,932",985,46,"13,101",612,"31,812",111 (0%),"31,812",2%,"414,254","13,962"
netherlands,"44,249",108,"5,715",21,0,0,"38,534",293 (1%),"38,534",13%,"302,395","5,048"
qatar,"35,606","1,637",15,0,"5,634",735,"29,957",172 (1%),"29,957",0%,"166,182","4,487"
ecuador,"34,151",569,"2,839",40,"3,457",24,"27,855",221 (1%),"27,855",8%,"98,171","1,635"
belarus,"31,508",936,175,4,"10,620",490,"20,713",92 (0%),"20,713",1%,"375,076","10,757"
sweden,"30,799",422,"3,743",45,"4,971",0,"22,085",287 (1%),"22,085",12%,"209,900","32,400"
switzerland,"30,618",21,"1,891",5,"27,700",100,"1,027",57 (6%),"1,027",6%,"350,099","4,339"
portugal,"29,432",223,"1,247",16,"6,431",1,"21,754",101 (0%),"21,754",4%,"662,375","9,878"
singapore,"29,364",570,22,0,"10,365",0,"18,977",10 (0%),"18,977",0%,"246,254",0
bangladesh,"26,738","1,617",386,16,"5,207",214,"21,145",1 (0%),"21,145",1%,"203,852","10,207"
united-arab-emirates,"25,063",873,227,3,"10,791","1,214","14,045",1 (0%),"14,045",1%,"1,600,923",0
ireland,"24,251",51,"1,561",14,"19,470",0,"3,220",54 (2%),"3,220",6%,"295,626","36,818"
poland,"19,569",301,953,5,"8,183",280,"10,433",160 (2%),"10,433",5%,"653,224",0
ukraine,"19,230",354,564,16,"5,955",323,"12,711",245 (2%),"12,711",3%,"248,529","8,568"
indonesia,"19,189",693,"1,242",21,"4,575",108,"13,372",0 (0%),"13,372",6%,"202,936",0
south-africa,"17,200",767,312,26,"7,960",662,"8,928",119 (1%),"8,928",2%,"488,609","13,538"
romania,"17,191",155,"1,137",17,"10,166",236,"5,888",195 (3%),"5,888",7%,"322,074","8,453"
colombia,"16,935",640,613,21,"4,050",147,"12,272",136 (1%),"12,272",4%,"201,808","11,694"
kuwait,"16,764","1,073",121,3,"4,681",342,"11,962",179 (1%),"11,962",1%,"252,696","4,382"
israel,"16,659",16,278,2,"13,435",182,"2,946",50 (2%),"2,946",2%,"512,452","6,750"
japan,"16,367",62,768,19,"11,564",0,"4,035",213 (5%),"4,035",5%,"255,675","5,524"
austria,"16,321",52,632,3,"14,678",64,"1,011",39 (4%),"1,011",4%,"372,435","6,366"
egypt,"13,484",720,659,14,"3,742",302,"9,083",41 (0%),"9,083",5%,"135,000",0
dominican-republic,"13,223",498,441,7,"6,613",0,"6,169",136 (2%),"6,169",3%,"50,108",0
philippines,"13,221",279,842,5,"2,932",89,"9,447",81 (1%),"9,447",6%,"244,800",0
denmark,"11,117",73,551,0,"9,416",0,"1,150",25 (2%),"1,150",5%,"490,782","15,686"
south-korea,"11,110",32,263,0,"10,066",128,781,15 (2%),781,2%,"776,433","10,859"
serbia,"10,733",34,234,3,"4,904",105,"5,595",15 (0%),"5,595",2%,"190,683","5,298"
panama,"9,867",261,281,6,"6,194",113,"3,392",72 (2%),"3,392",3%,"51,815","1,467"
argentina,"8,809",438,393,11,"2,872",247,"5,544",154 (3%),"5,544",4%,"108,634","2,805"
czechia,"8,683",36,303,1,"5,731",5,"2,649",36 (1%),"2,649",3%,"372,341","8,378"
norway,"8,267",10,233,0,32,0,"8,002",16 (0%),"8,002",3%,"219,984","1,945"
afghanistan,"7,653",581,178,5,850,49,"6,625",19 (0%),"6,625",2%,"24,697","1,200"
bahrain,"7,532",348,12,0,"2,952",21,"4,568",9 (0%),"4,568",0%,"249,411","6,380"
algeria,"7,377",176,561,6,"3,746",121,"3,070",22 (1%),"3,070",8%,"6,500",0
australia,"7,079",11,100,0,"6,442",29,537,9 (2%),537,1%,"1,108,311","22,441"
morocco,"7,023",71,193,1,"3,901",143,"2,929",1 (0%),"2,929",3%,"100,367","5,772"
malaysia,"7,009",31,114,0,"5,706",60,"1,189",11 (1%),"1,189",2%,"471,318","9,061"
kazakhstan,"6,969",218,35,0,"3,598",0,"3,336",31 (1%),"3,336",1%,"571,547","18,485"
nigeria,"6,401",226,192,1,"1,734",90,"4,475",7 (0%),"4,475",3%,"36,899","1,554"
finland,"6,399",19,301,1,"5,000",0,"1,098",25 (2%),"1,098",5%,"152,300","2,600"
moldova,"6,340",202,221,4,"2,508",83,"3,611",251 (7%),"3,611",3%,"20,447",0
ghana,"6,096",361,31,2,"1,773",19,"4,292",5 (0%),"4,292",1%,"180,567","7,471"
oman,"6,043",372,27,0,"1,661",87,"4,355",31 (1%),"4,355",0%,"61,000",0
armenia,"5,271",230,67,3,"2,419",255,"2,785",10 (0%),"2,785",1%,"44,071","1,030"
bolivia,"4,481",218,189,15,533,30,"3,759",3 (0%),"3,759",4%,"14,803",0
luxembourg,"3,958",11,109,2,"3,718",3,131,10 (8%),131,3%,"63,011",751
iraq,"3,611",57,131,4,"2,366",56,"1,114",0 (0%),"1,114",4%,"149,701",0
hungary,"3,598",42,470,3,"1,454",42,"1,674",29 (2%),"1,674",13%,"142,729","4,032"
cameroon,"3,529",0,140,0,"1,567",0,"1,822",28 (2%),"1,822",4%,0,0
azerbaijan,"3,518",131,41,1,"2,198",143,"1,279",37 (3%),"1,279",1%,"240,220","4,310"
thailand,"3,034",1,56,0,"2,888",31,90,61 (68%),90,2%,"286,008",0
honduras,"2,955",157,147,1,349,9,"2,459",13 (1%),"2,459",5%,"10,775",0
uzbekistan,"2,880",25,13,0,"2,338",0,529,6 (1%),529,0%,"460,000",0
guinea,"2,863",67,18,2,"1,525",262,"1,320",18 (1%),"1,320",1%,"10,304",0
greece,"2,840",4,165,0,"1,374",0,"1,301",22 (2%),"1,301",6%,"136,001","4,317"
sudan,"2,728",137,111,6,286,39,"2,331",0 (0%),"2,331",4%,281,281
senegal,"2,617",73,30,4,"1,133",57,"1,454",6 (0%),"1,454",1%,"24,599",0
bosnia-and-herzegovina,"2,321",17,134,1,"1,522",58,665,4 (1%),665,6%,"53,988","2,668"
bulgaria,"2,292",33,116,4,684,38,"1,492",33 (2%),"1,492",5%,"68,243","1,433"
croatia,"2,232",4,96,1,"1,967",21,169,10 (6%),169,4%,"55,800",980
ivory-coast,"2,153",34,28,0,"1,050",10,"1,075",0 (0%),"1,075",1%,"18,608",0
guatemala,"2,133",132,43,5,155,16,"1,935",5 (0%),"1,935",2%,"20,820",0
tajikistan,"1,936",207,41,0,641,641,"1,254",0 (0%),"1,254",2%,0,0
cuba,"1,887",6,79,0,"1,538",33,270,8 (3%),270,4%,"85,556","1,688"
north-macedonia,"1,839",22,106,2,"1,351",50,382,21 (5%),382,6%,"22,255",533
iceland,"1,802",0,10,0,"1,789",3,3,0 (0%),3,1%,"57,187",305
estonia,"1,794",3,64,0,956,18,774,2 (0%),774,4%,"72,464","2,276"
congo-kinshasa,"1,731",102,61,0,302,12,"1,368",0 (0%),"1,368",4%,0,0
djibouti,"1,618",100,7,0,"1,033",15,578,0 (0%),578,0%,"18,933",588
lithuania,"1,577",15,60,0,"1,049",24,468,17 (4%),468,4%,"245,580","7,980"
el-salvador,"1,571",73,31,1,531,29,"1,009",27 (3%),"1,009",2%,"62,838","2,497"
new-zealand,"1,503",4,21,0,"1,442",9,40,2 (5%),40,1%,"233,843","3,125"
somalia,"1,502",47,59,2,178,15,"1,265",2 (0%),"1,265",4%,0,0
gabon,"1,502",70,12,1,318,17,"1,172",9 (1%),"1,172",1%,"7,966",521
slovakia,"1,496",1,28,0,"1,231",39,237,3 (1%),237,2%,"148,845","3,371"
slovenia,"1,467",1,104,0,"1,338",3,25,5 (20%),25,7%,"70,970","1,128"
mayotte,"1,370",0,18,0,627,0,725,9 (1%),725,1%,"5,200",0
kyrgyzstan,"1,270",27,14,0,910,12,346,5 (1%),346,1%,"94,441","34,951"
maldives,"1,143",37,4,0,91,33,"1,048",9 (1%),"1,048",0%,"11,775",0
hong-kong,"1,056",0,4,0,"1,025",0,27,1 (4%),27,0%,"168,291",0
tunisia,"1,044",1,47,1,826,7,171,3 (2%),171,5%,"41,620",0
guinea-bissau,"1,038",6,6,2,42,4,990,0 (0%),990,1%,"1,500",0
sri-lanka,"1,027",4,9,0,569,0,449,1 (0%),449,1%,"46,413","1,062"
latvia,"1,016",4,21,0,694,0,301,3 (1%),301,2%,"92,751","1,783"
kosovo,989,34,29,0,769,78,191,0 (0%),191,3%,0,0
albania,964,15,31,0,758,16,175,1 (1%),175,3%,"12,555",186
kenya,963,51,50,0,358,22,555,1 (0%),555,5%,"46,784","1,933"
lebanon,954,23,26,0,251,0,677,4 (1%),677,3%,"63,720","1,296"
cyprus,918,1,17,0,515,0,386,10 (3%),386,2%,"87,549",0
niger,914,5,55,0,734,20,125,0 (0%),125,6%,"5,909",21
mali,901,27,53,1,529,17,319,0 (0%),319,6%,"3,483",0
costa-rica,882,16,10,0,577,2,295,5 (2%),295,1%,"20,741",389
paraguay,829,41,11,0,230,11,588,0 (0%),588,1%,"21,121",997
equatorial-guinea,825,106,7,0,22,0,796,0 (0%),796,1%,854,0
burkina-faso,796,0,51,0,652,0,93,0 (0%),93,6%,0,0
