Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"825,190","1,520","45,343",114,"82,973",113,"696,874","14,016 (2%)","696,874",5%,"4,190,002","2,610"
spain,"208,389","4,211","21,717",435,"85,915","3,401","100,757","7,705 (8%)","100,757",10%,"930,230",0
italy,"183,957","2,729","24,648",534,"51,600","2,723","107,709","2,471 (2%)","107,709",13%,"1,450,150","52,126"
france,"158,050","2,667","20,796",531,"39,181","1,772","98,073","5,433 (6%)","98,073",13%,"463,662",0
germany,"148,453","1,388","5,086",224,"95,200","3,700","48,167","2,889 (6%)","48,167",3%,"1,728,357",0
united-kingdom,"130,077",0,"17,375",0,624,0,"112,078","1,559 (1%)","112,078",13%,"535,342",0
turkey,"95,591","4,611","2,259",119,"14,918","1,488","78,414","1,865 (2%)","78,414",2%,"713,409","39,429"
iran,"84,802","1,297","5,297",88,"60,965","1,692","18,540","3,357 (18%)","18,540",6%,"365,723","12,711"
china,"83,800",11,"4,636",0,"77,786",30,"1,378",78 (6%),"1,378",6%,0,0
russia,"57,999","5,236",513,57,"4,420",547,"53,066",700 (1%),"53,066",1%,"2,250,000","107,396"
brazil,"43,368",289,"2,761",20,"24,325","1,334","16,282","8,318 (51%)","16,282",6%,"291,922",0
belgium,"41,889",933,"6,262",264,"9,433",431,"26,194","1,020 (4%)","26,194",15%,"171,400","4,290"
canada,"39,350",3,"1,915",6,"13,188",0,"24,247",557 (2%),"24,247",5%,"569,878","3,947"
netherlands,"34,231",0,"3,918",0,51,0,"30,262","1,087 (4%)","30,262",11%,"171,415",0
switzerland,"28,063",119,"1,478",49,"19,400",800,"7,185",386 (5%),"7,185",5%,"227,554","3,112"
portugal,"21,379",516,762,27,917,307,"19,700",213 (1%),"19,700",4%,"271,962","36,084"
india,"20,178",98,645,0,"3,976",1,"15,557",0 (0%),"15,557",3%,"462,621","14,809"
