Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"708,917","31,861","37,097","2,517","59,979","2,708","611,841","13,476 (2%)","611,841",5%,"3,572,257","175,236"
spain,"190,839","5,891","20,002",687,"74,797",0,"96,040","7,371 (8%)","96,040",10%,"930,230",0
italy,"172,434","3,493","22,745",575,"42,727","2,563","106,962","2,812 (3%)","106,962",13%,"1,244,108","65,705"
france,"147,969",0,"18,681",761,"34,420","1,608","94,868","6,027 (6%)","94,868",13%,"463,662","129,855"
germany,"141,397","3,699","4,352",300,"83,114","6,114","53,931","5,013 (9%)","53,931",3%,"1,728,357",0
united-kingdom,"109,729","5,623","14,606",848,389,19,"94,734","1,559 (2%)","94,734",13%,"438,991","21,342"
china,"83,696",357,"4,636","1,290","77,944",0,"1,116",89 (8%),"1,116",6%,0,0
iran,"79,494","1,499","4,958",89,"54,064","1,835","20,472","3,563 (17%)","20,472",6%,"319,879","9,539"
turkey,"78,546","4,353","1,769",126,"8,631","1,542","68,146","1,845 (3%)","68,146",2%,"558,413","40,270"
belgium,"36,138","1,329","5,163",306,"7,961",399,"23,014","1,140 (5%)","23,014",14%,"139,387","5,084"
brazil,"33,682","2,999","2,141",194,"14,026",0,"17,515","6,634 (38%)","17,515",6%,"62,985",0
canada,"32,523","1,766","1,355",97,"10,328",654,"20,840",557 (3%),"20,840",4%,"503,003","15,378"
russia,"32,008","4,070",273,41,"2,590",286,"29,145",8 (0%),"29,145",1%,"1,718,019","104,606"
netherlands,"30,602","1,236","3,470",144,305,4,"26,827","1,279 (5%)","26,827",11%,"154,911","6,963"
switzerland,"27,078",346,"1,327",46,"16,400",500,"9,351",386 (4%),"9,351",5%,"206,400",0
portugal,"19,022",181,657,28,519,26,"17,846",222 (1%),"17,846",3%,"221,049","12,735"
austria,"14,595",119,431,21,"9,704",718,"4,460",227 (5%),"4,460",3%,"169,272","6,456"
india,"14,352",922,486,38,"2,041",273,"11,825",0 (0%),"11,825",3%,"335,123","32,167"
ireland,"13,980",709,530,44,77,0,"13,373",156 (1%),"13,373",4%,"90,646",0
peru,"13,489",998,300,26,"6,541",421,"6,648",137 (2%),"6,648",2%,"127,513","6,045"
sweden,"13,216",676,"1,400",67,550,0,"11,266",482 (4%),"11,266",11%,"74,600",0
israel,"12,982",224,151,9,"3,126",308,"9,705",168 (2%),"9,705",1%,"187,250",0
south-korea,"10,635",22,230,1,"7,829",72,"2,576",55 (2%),"2,576",2%,"546,463","7,688"
japan,"9,787","1,161",190,12,935,34,"8,662",193 (2%),"8,662",2%,"100,703","6,467"
chile,"9,252",445,116,11,"3,621",322,"5,515",384 (7%),"5,515",1%,"103,873","5,449"
ecuador,"8,450",225,421,18,838,0,"7,191",168 (2%),"7,191",5%,"27,868",0
poland,"8,379",461,332,18,866,92,"7,181",160 (2%),"7,181",4%,"179,654","10,583"
romania,"8,067",360,411,19,"1,508",151,"6,148",258 (4%),"6,148",5%,"85,805","6,176"
denmark,"7,257",194,336,15,"3,560",368,"3,361",93 (3%),"3,361",5%,"87,024","4,644"
saudi-arabia,"7,142",762,87,4,"1,049",59,"6,006",74 (1%),"6,006",1%,"150,000",0
pakistan,"7,025",106,135,7,"1,765",120,"5,125",46 (1%),"5,125",2%,"84,704","5,725"
norway,"6,937",41,161,9,32,0,"6,744",63 (1%),"6,744",2%,"136,236","2,529"
czechia,"6,549",116,173,4,"1,174",202,"5,202",82 (2%),"5,202",3%,"154,307","8,303"
australia,"6,526",58,66,3,"3,821",74,"2,639",60 (2%),"2,639",1%,"391,530","11,527"
united-arab-emirates,"6,302",477,37,2,"1,188",93,"5,077",1 (0%),"5,077",1%,"767,000",0
mexico,"6,297",450,486,37,"2,125",0,"3,686",207 (6%),"3,686",8%,"40,091",0
indonesia,"5,923",407,520,24,607,59,"4,796",0 (0%),"4,796",9%,"37,134","1,134"
philippines,"5,878",218,387,25,487,52,"5,004",1 (0%),"5,004",7%,"48,171",0
serbia,"5,690",372,110,7,534,91,"5,046",120 (2%),"5,046",2%,"32,566","3,094"
malaysia,"5,251",69,86,2,"2,967",201,"2,198",51 (2%),"2,198",2%,"96,695","9,512"
singapore,"5,050",623,11,1,708,25,"4,331",22 (1%),"4,331",0%,"94,796","22,116"
belarus,"4,779",575,42,2,342,139,"4,395",65 (1%),"4,395",1%,"86,813","5,567"
qatar,"4,663",560,7,0,464,49,"4,192",37 (1%),"4,192",0%,"58,328","1,947"
ukraine,"4,662",501,125,9,246,60,"4,291",45 (1%),"4,291",3%,"47,096","4,273"
